"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","STX.O",20110103,NA,"End Of Day (from Real-Time)",15.2,15.33,14.9,14.97,7036991
"2","STX.O",20110104,NA,"End Of Day (from Real-Time)",15.02,15.11,14.59,14.78,7352308
"3","STX.O",20110105,NA,"End Of Day (from Real-Time)",14.71,14.96,14.62,14.7,9186495
"4","STX.O",20110106,NA,"End Of Day (from Real-Time)",14.73,14.77,14.26,14.75,13305603
"5","STX.O",20110107,NA,"End Of Day (from Real-Time)",14.75,14.7575,14.43,14.465,5914307
"6","STX.O",20110110,NA,"End Of Day (from Real-Time)",14.41,14.45,14.21,14.32,9446289
"7","STX.O",20110111,NA,"End Of Day (from Real-Time)",14.35,14.46,14.08,14.12,7595697
"8","STX.O",20110112,NA,"End Of Day (from Real-Time)",14.22,14.39,14.07,14.1975,6110368
"9","STX.O",20110113,NA,"End Of Day (from Real-Time)",14.19,14.23,13.98,14.0825,6200211
"10","STX.O",20110114,NA,"End Of Day (from Real-Time)",14.11,14.408,14.0501,14.2575,8282981
"11","STX.O",20110118,NA,"End Of Day (from Real-Time)",14.26,14.61,14.26,14.58,8611052
"12","STX.O",20110119,NA,"End Of Day (from Real-Time)",14.57,14.8,14,14.13,14396144
"13","STX.O",20110120,NA,"End Of Day (from Real-Time)",13.54,13.55,12.9,13.31,31653130
"14","STX.O",20110121,NA,"End Of Day (from Real-Time)",13.39,13.43,13.13,13.28,12392820
"15","STX.O",20110124,NA,"End Of Day (from Real-Time)",13.25,13.65,13.25,13.52,12549622
"16","STX.O",20110125,NA,"End Of Day (from Real-Time)",13.44,13.52,13.27,13.5,9064555
"17","STX.O",20110126,NA,"End Of Day (from Real-Time)",13.85,14,13.52,13.69,21044649
"18","STX.O",20110127,NA,"End Of Day (from Real-Time)",13.68,14.13,13.65,14,11211630
"19","STX.O",20110128,NA,"End Of Day (from Real-Time)",14.06,14.19,13.45,13.802,12905771
"20","STX.O",20110131,NA,"End Of Day (from Real-Time)",13.83,14.01,13.5,14,11290191
"21","STX.O",20110201,NA,"End Of Day (from Real-Time)",14.07,14.1701,13.88,13.95,13071459
"22","STX.O",20110202,NA,"End Of Day (from Real-Time)",13.9,14.44,13.9,14.26,10754205
"23","STX.O",20110203,NA,"End Of Day (from Real-Time)",14.15,14.3,14,14.23,5255881
"24","STX.O",20110204,NA,"End Of Day (from Real-Time)",14.21,14.45,14.13,14.33,8457410
"25","STX.O",20110207,NA,"End Of Day (from Real-Time)",14.33,14.49,14.28,14.38,5090514
"26","STX.O",20110208,NA,"End Of Day (from Real-Time)",14.4,14.59,14.31,14.44,7557390
"27","STX.O",20110209,NA,"End Of Day (from Real-Time)",14.41,14.54,14.23,14.42,5980141
"28","STX.O",20110210,NA,"End Of Day (from Real-Time)",14.33,14.45,14.27,14.39,5040857
"29","STX.O",20110211,NA,"End Of Day (from Real-Time)",14.26,14.41,14.23,14.39,5345486
"30","STX.O",20110214,NA,"End Of Day (from Real-Time)",14.35,14.66,14.27,14.29,6053004
"31","STX.O",20110215,NA,"End Of Day (from Real-Time)",14.27,14.46,14.11,14.22,6632315
"32","STX.O",20110216,NA,"End Of Day (from Real-Time)",14.25,14.28,13.73,13.88,12397456
"33","STX.O",20110217,NA,"End Of Day (from Real-Time)",13.86,13.93,13.59,13.86,7833751
"34","STX.O",20110218,NA,"End Of Day (from Real-Time)",13.81,13.86,13.47,13.72,8300470
"35","STX.O",20110222,NA,"End Of Day (from Real-Time)",13.51,13.62,13.09,13.25,9425884
"36","STX.O",20110223,NA,"End Of Day (from Real-Time)",13.2,13.25,12.48,12.72,19633135
"37","STX.O",20110224,NA,"End Of Day (from Real-Time)",12.7,12.81,12.6,12.74,11384478
"38","STX.O",20110225,NA,"End Of Day (from Real-Time)",12.8,13.08,12.79,12.83,11280108
"39","STX.O",20110228,NA,"End Of Day (from Real-Time)",12.3,12.8,12.26,12.7,12236018
"40","STX.O",20110301,NA,"End Of Day (from Real-Time)",12.62,12.65,12.26,12.29,14247893
"41","STX.O",20110302,NA,"End Of Day (from Real-Time)",12.26,12.68,12.26,12.53,10726812
"42","STX.O",20110303,NA,"End Of Day (from Real-Time)",12.7,12.95,12.6,12.65,9844735
"43","STX.O",20110304,NA,"End Of Day (from Real-Time)",12.61,12.66,12.35,12.4375,7241020
"44","STX.O",20110307,NA,"End Of Day (from Real-Time)",13.91,14.19,13.44,13.56,44750231
"45","STX.O",20110308,NA,"End Of Day (from Real-Time)",13.4719,14.02,13.315,13.95,14499209
"46","STX.O",20110309,NA,"End Of Day (from Real-Time)",13.87,14.02,13.59,13.69,15736364
"47","STX.O",20110310,NA,"End Of Day (from Real-Time)",13.53,13.64,13.39,13.48,9916277
"48","STX.O",20110311,NA,"End Of Day (from Real-Time)",13.4,13.77,13.38,13.54,12423976
"49","STX.O",20110314,NA,"End Of Day (from Real-Time)",13.45,13.62,13.14,13.15,7914104
"50","STX.O",20110315,NA,"End Of Day (from Real-Time)",12.75,13.15,12.57,13.01,10900884
"51","STX.O",20110316,NA,"End Of Day (from Real-Time)",12.99,13.4,12.71,12.86,12062367
"52","STX.O",20110317,NA,"End Of Day (from Real-Time)",13.08,13.49,12.8,13.23,14433908
"53","STX.O",20110318,NA,"End Of Day (from Real-Time)",13.12,13.4,13,13.19,11629986
"54","STX.O",20110321,NA,"End Of Day (from Real-Time)",13.27,13.54,13.2,13.5,10080699
"55","STX.O",20110322,NA,"End Of Day (from Real-Time)",13.5,13.63,13.4,13.46,6699093
"56","STX.O",20110323,NA,"End Of Day (from Real-Time)",13.43,13.7,13.36,13.61,6669054
"57","STX.O",20110324,NA,"End Of Day (from Real-Time)",13.67,14.25,13.58,14.19,12073239
"58","STX.O",20110325,NA,"End Of Day (from Real-Time)",14.26,14.52,14.055,14.42,12710729
"59","STX.O",20110328,NA,"End Of Day (from Real-Time)",14.52,14.67,14.2875,14.31,7618181
"60","STX.O",20110329,NA,"End Of Day (from Real-Time)",14.32,14.33,14.09,14.28,4663881
"61","STX.O",20110330,NA,"End Of Day (from Real-Time)",14.3,14.75,14.26,14.71,9378731
"62","STX.O",20110331,NA,"End Of Day (from Real-Time)",14.7,14.71,14.29,14.405,9796591
"63","STX.O",20110401,NA,"End Of Day (from Real-Time)",14.52,15,14.25,14.94,14959186
"64","STX.O",20110404,NA,"End Of Day (from Real-Time)",14.92,14.94,14.46,14.59,7696224
"65","STX.O",20110405,NA,"End Of Day (from Real-Time)",14.56,14.85,14.51,14.67,6808706
"66","STX.O",20110406,NA,"End Of Day (from Real-Time)",14.86,15,14.62,14.76,6724922
"67","STX.O",20110407,NA,"End Of Day (from Real-Time)",14.72,14.87,14.59,14.69,6604110
"68","STX.O",20110408,NA,"End Of Day (from Real-Time)",15.86,16.3,15.64,15.84,45009781
"69","STX.O",20110411,NA,"End Of Day (from Real-Time)",15.9,15.96,15.66,15.74,12539720
"70","STX.O",20110412,NA,"End Of Day (from Real-Time)",15.65,16.12,15.37,16.1,16597948
"71","STX.O",20110413,NA,"End Of Day (from Real-Time)",16.2662,16.46,16.17,16.43,15851775
"72","STX.O",20110414,NA,"End Of Day (from Real-Time)",16.44,17.15,16.37,17.09,24930354
"73","STX.O",20110415,NA,"End Of Day (from Real-Time)",17.12,17.64,17.03,17.64,21007388
"74","STX.O",20110418,NA,"End Of Day (from Real-Time)",17.39,17.99,17.27,17.84,21878624
"75","STX.O",20110419,NA,"End Of Day (from Real-Time)",18.02,18.23,17.08,17.93,32517844
"76","STX.O",20110420,NA,"End Of Day (from Real-Time)",18.09,18.29,17.99,18.22,13506988
"77","STX.O",20110421,NA,"End Of Day (from Real-Time)",17.9,18.19,17.84,18.15,12510155
"78","STX.O",20110425,NA,"End Of Day (from Real-Time)",18,18.22,17.9,18.2,15046628
"79","STX.O",20110426,NA,"End Of Day (from Real-Time)",18.23,18.35,18.12,18.14,12783582
"80","STX.O",20110427,NA,"End Of Day (from Real-Time)",18.14,18.15,17.57,17.96,13858997
"81","STX.O",20110428,NA,"End Of Day (from Real-Time)",17.68,17.94,17.42,17.8,10657462
"82","STX.O",20110429,NA,"End Of Day (from Real-Time)",17.78,17.83,17.34,17.62,8662654
"83","STX.O",20110502,NA,"End Of Day (from Real-Time)",17.66,17.9,17.47,17.53,8121414
"84","STX.O",20110503,NA,"End Of Day (from Real-Time)",17.63,17.67,17.15,17.18,11997122
"85","STX.O",20110504,NA,"End Of Day (from Real-Time)",17.3,17.46,16.72,17.31,11680212
"86","STX.O",20110505,NA,"End Of Day (from Real-Time)",17.21,17.43,17.04,17.1,9128917
"87","STX.O",20110506,NA,"End Of Day (from Real-Time)",17.26,17.6,17.16,17.33,6510142
"88","STX.O",20110509,NA,"End Of Day (from Real-Time)",17.28,17.68,17.2,17.4,6763575
"89","STX.O",20110510,NA,"End Of Day (from Real-Time)",17.46,17.87,17.39,17.75,8504160
"90","STX.O",20110511,NA,"End Of Day (from Real-Time)",17.7,17.81,17.28,17.43,6266884
"91","STX.O",20110512,NA,"End Of Day (from Real-Time)",17.53,17.59,17.16,17.19,7567574
"92","STX.O",20110513,NA,"End Of Day (from Real-Time)",17.21,17.23,16.98,17.14,5686379
"93","STX.O",20110516,NA,"End Of Day (from Real-Time)",17.11,17.2,16.64,16.7,8021294
"94","STX.O",20110517,NA,"End Of Day (from Real-Time)",16.74,16.86,16.35,16.61,8373065
"95","STX.O",20110518,NA,"End Of Day (from Real-Time)",16.59,17.05,16.55,16.86,6382691
"96","STX.O",20110519,NA,"End Of Day (from Real-Time)",16.92,16.92,16.39,16.57,7261994
"97","STX.O",20110520,NA,"End Of Day (from Real-Time)",16.56,17.01,16.525,16.93,8007004
"98","STX.O",20110523,NA,"End Of Day (from Real-Time)",16.57,16.92,16.56,16.76,5370482
"99","STX.O",20110524,NA,"End Of Day (from Real-Time)",16.76,17.19,16.7,16.92,6023196
"100","STX.O",20110525,NA,"End Of Day (from Real-Time)",16.81,16.8362,16.53,16.76,8709424
"101","STX.O",20110526,NA,"End Of Day (from Real-Time)",16.75,16.75,16.63,16.68,7876390
"102","STX.O",20110527,NA,"End Of Day (from Real-Time)",16.7,16.82,16.45,16.46,14038022
"103","STX.O",20110531,NA,"End Of Day (from Real-Time)",16.53,16.85,16.44,16.8,17603334
"104","STX.O",20110601,NA,"End Of Day (from Real-Time)",16.84,16.86,16.22,16.32,12707974
"105","STX.O",20110602,NA,"End Of Day (from Real-Time)",16.37,16.45,16.05,16.28,7158493
"106","STX.O",20110603,NA,"End Of Day (from Real-Time)",16.12,16.28,15.85,15.9,7519528
"107","STX.O",20110606,NA,"End Of Day (from Real-Time)",15.89,15.94,15.56,15.57,5288129
"108","STX.O",20110607,NA,"End Of Day (from Real-Time)",15.6,15.83,15.495,15.52,5248649
"109","STX.O",20110608,NA,"End Of Day (from Real-Time)",15.36,15.81,15.13,15.45,8450929
"110","STX.O",20110609,NA,"End Of Day (from Real-Time)",15.43,15.59,15.28,15.38,6557220
"111","STX.O",20110610,NA,"End Of Day (from Real-Time)",15.36,15.45,15.09,15.255,7829836
"112","STX.O",20110613,NA,"End Of Day (from Real-Time)",15.27,15.44,15.05,15.13,7616666
"113","STX.O",20110614,NA,"End Of Day (from Real-Time)",15.43,15.92,15.41,15.59,10475688
"114","STX.O",20110615,NA,"End Of Day (from Real-Time)",15.41,15.74,14.86,14.9,13649865
"115","STX.O",20110616,NA,"End Of Day (from Real-Time)",14.93,14.97,14.4,14.57,9045941
"116","STX.O",20110617,NA,"End Of Day (from Real-Time)",14.8,14.86,14.18,14.25,11242439
"117","STX.O",20110620,NA,"End Of Day (from Real-Time)",14.22,14.51,14.14,14.37,5789351
"118","STX.O",20110621,NA,"End Of Day (from Real-Time)",14.48,14.94,14.44,14.78,10567876
"119","STX.O",20110622,NA,"End Of Day (from Real-Time)",14.71,15.36,14.71,14.97,11553091
"120","STX.O",20110623,NA,"End Of Day (from Real-Time)",14.82,15.825,14.82,15.72,18286546
"121","STX.O",20110624,NA,"End Of Day (from Real-Time)",15.7,15.72,15.06,15.35,46886188
"122","STX.O",20110627,NA,"End Of Day (from Real-Time)",15.29,15.47,15.1,15.22,9532640
"123","STX.O",20110628,NA,"End Of Day (from Real-Time)",15.58,15.59,15.2,15.31,8395793
"124","STX.O",20110629,NA,"End Of Day (from Real-Time)",15.39,15.65,15.28,15.57,5827430
"125","STX.O",20110630,NA,"End Of Day (from Real-Time)",15.59,16.17,15.59,16.16,8516240
"126","STX.O",20110701,NA,"End Of Day (from Real-Time)",16.18,16.37,15.95,16.36,5391520
"127","STX.O",20110705,NA,"End Of Day (from Real-Time)",16.29,16.29,16.01,16.2,6493439
"128","STX.O",20110706,NA,"End Of Day (from Real-Time)",16.24,16.51,16.22,16.32,6953219
"129","STX.O",20110707,NA,"End Of Day (from Real-Time)",16.85,17,16.61,16.64,14215569
"130","STX.O",20110708,NA,"End Of Day (from Real-Time)",16.54,16.95,16.51,16.935,9175935
"131","STX.O",20110711,NA,"End Of Day (from Real-Time)",16.65,16.87,16.46,16.71,7299875
"132","STX.O",20110712,NA,"End Of Day (from Real-Time)",16.66,16.8,16.46,16.595,7066121
"133","STX.O",20110713,NA,"End Of Day (from Real-Time)",16.75,16.955,16.66,16.83,5841246
"134","STX.O",20110714,NA,"End Of Day (from Real-Time)",16.94,17.11,16.63,16.68,8714395
"135","STX.O",20110715,NA,"End Of Day (from Real-Time)",16.88,17.03,16.59,16.81,5893101
"136","STX.O",20110718,NA,"End Of Day (from Real-Time)",16.8,16.8,16.13,16.53,7094789
"137","STX.O",20110719,NA,"End Of Day (from Real-Time)",16.62,17,16.61,16.93,9286627
"138","STX.O",20110720,NA,"End Of Day (from Real-Time)",17.17,17.17,16.74,16.99,15183203
"139","STX.O",20110721,NA,"End Of Day (from Real-Time)",14.69,14.69,13.99,14.13,44940657
"140","STX.O",20110722,NA,"End Of Day (from Real-Time)",14.24,15.03,14.14,14.57,17824167
"141","STX.O",20110725,NA,"End Of Day (from Real-Time)",14.35,14.84,14.15,14.65,13578230
"142","STX.O",20110726,NA,"End Of Day (from Real-Time)",14.66,15,14.66,14.77,10435728
"143","STX.O",20110727,NA,"End Of Day (from Real-Time)",14.73,14.75,14.13,14.33,11287212
"144","STX.O",20110728,NA,"End Of Day (from Real-Time)",14.44,14.51,14.23,14.26,7789562
"145","STX.O",20110729,NA,"End Of Day (from Real-Time)",14.16,14.31,13.86,13.89,11228201
"146","STX.O",20110801,NA,"End Of Day (from Real-Time)",14.11,14.25,13.71,13.84,11547866
"147","STX.O",20110802,NA,"End Of Day (from Real-Time)",13.78,13.85,13.16,13.2,9467882
"148","STX.O",20110803,NA,"End Of Day (from Real-Time)",13.2,13.2,12.64,12.76,16844908
"149","STX.O",20110804,NA,"End Of Day (from Real-Time)",12.74,12.74,12.05,12.07,17234217
"150","STX.O",20110805,NA,"End Of Day (from Real-Time)",12.26,12.5,11.76,12.06,17729716
"151","STX.O",20110808,NA,"End Of Day (from Real-Time)",11.65,11.78,10.83,10.88,19020827
"152","STX.O",20110809,NA,"End Of Day (from Real-Time)",11.2,11.49,10.7,11.31,15823001
"153","STX.O",20110810,NA,"End Of Day (from Real-Time)",11.01,11.6,10.9,11.08,16520108
"154","STX.O",20110811,NA,"End Of Day (from Real-Time)",11.14,11.72,10.95,11.56,16360771
"155","STX.O",20110812,NA,"End Of Day (from Real-Time)",11.57,12.03,11.57,11.84,10538576
"156","STX.O",20110815,NA,"End Of Day (from Real-Time)",11.91,12.14,11.8708,12.01,10745806
"157","STX.O",20110816,NA,"End Of Day (from Real-Time)",11.99,12.25,11.82,12.16,12206478
"158","STX.O",20110817,NA,"End Of Day (from Real-Time)",12.15,12.24,11.28,11.7,8959842
"159","STX.O",20110818,NA,"End Of Day (from Real-Time)",11.3,11.3,10.42,10.59,11053623
"160","STX.O",20110819,NA,"End Of Day (from Real-Time)",10.52,10.6,9.96,10.08,15137275
"161","STX.O",20110822,NA,"End Of Day (from Real-Time)",10.34,10.38,9.98,10.19,10271988
"162","STX.O",20110823,NA,"End Of Day (from Real-Time)",10.23,10.8,10.22,10.78,9515512
"163","STX.O",20110824,NA,"End Of Day (from Real-Time)",10.77,11.06,10.65,10.98,6383647
"164","STX.O",20110825,NA,"End Of Day (from Real-Time)",10.95,11.28,10.76,10.8,6707994
"165","STX.O",20110826,NA,"End Of Day (from Real-Time)",10.75,11.17,10.58,11.09,5058358
"166","STX.O",20110829,NA,"End Of Day (from Real-Time)",11.25,11.69,11.13,11.67,4195697
"167","STX.O",20110830,NA,"End Of Day (from Real-Time)",11.76,11.76,11.4,11.6,4596503
"168","STX.O",20110831,NA,"End Of Day (from Real-Time)",11.65,11.9,11.52,11.58,8183697
"169","STX.O",20110901,NA,"End Of Day (from Real-Time)",11.65,11.72,11.215,11.24,5491884
"170","STX.O",20110902,NA,"End Of Day (from Real-Time)",11.03,11.05,10.67,10.71,6074241
"171","STX.O",20110906,NA,"End Of Day (from Real-Time)",10.47,10.62,10.25,10.6,6289721
"172","STX.O",20110907,NA,"End Of Day (from Real-Time)",10.77,11.37,10.77,11.31,6549792
"173","STX.O",20110908,NA,"End Of Day (from Real-Time)",11.3,11.61,10.93,11.03,5830931
"174","STX.O",20110909,NA,"End Of Day (from Real-Time)",11.01,11.48,10.84,11.18,6969620
"175","STX.O",20110912,NA,"End Of Day (from Real-Time)",11.02,11.47,10.85,11.23,5687238
"176","STX.O",20110913,NA,"End Of Day (from Real-Time)",11.28,11.46,11.12,11.4,5019208
"177","STX.O",20110914,NA,"End Of Day (from Real-Time)",11.54,12.12,11.5,11.9,9382920
"178","STX.O",20110915,NA,"End Of Day (from Real-Time)",12.06,12.16,11.71,11.88,5650868
"179","STX.O",20110916,NA,"End Of Day (from Real-Time)",11.91,12.11,11.8,12.02,5371816
"180","STX.O",20110919,NA,"End Of Day (from Real-Time)",11.82,11.89,11.54,11.7,4262668
"181","STX.O",20110920,NA,"End Of Day (from Real-Time)",11.81,11.81,11.34,11.41,6862679
"182","STX.O",20110921,NA,"End Of Day (from Real-Time)",11.44,11.62,11.18,11.18,6707918
"183","STX.O",20110922,NA,"End Of Day (from Real-Time)",10.89,10.92,10.45,10.67,9713021
"184","STX.O",20110923,NA,"End Of Day (from Real-Time)",10.53,10.83,10.5,10.75,4216587
"185","STX.O",20110926,NA,"End Of Day (from Real-Time)",10.82,11.275,10.66,11.24,5739872
"186","STX.O",20110927,NA,"End Of Day (from Real-Time)",11.46,11.96,11.36,11.48,7304909
"187","STX.O",20110928,NA,"End Of Day (from Real-Time)",11.54,11.59,11.05,11.11,8515102
"188","STX.O",20110929,NA,"End Of Day (from Real-Time)",11.31,11.37,10.36,10.71,9723678
"189","STX.O",20110930,NA,"End Of Day (from Real-Time)",10.61,10.61,10.18,10.275,8559692
"190","STX.O",20111003,NA,"End Of Day (from Real-Time)",10.22,10.24,9.44,9.49,13266380
"191","STX.O",20111004,NA,"End Of Day (from Real-Time)",9.4,9.69,9.05,9.65,8047784
"192","STX.O",20111005,NA,"End Of Day (from Real-Time)",9.7,10.26,9.64,10.16,6878876
"193","STX.O",20111006,NA,"End Of Day (from Real-Time)",10.19,10.75,10.16,10.72,5785849
"194","STX.O",20111007,NA,"End Of Day (from Real-Time)",10.79,10.93,10.44,10.71,8796785
"195","STX.O",20111010,NA,"End Of Day (from Real-Time)",10.93,11.18,10.86,11.08,3932766
