"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","TEG.N",20110103,NA,"End Of Day (from Real-Time)",48.83,49.11,48.54,48.88,198861
"2","TEG.N",20110104,NA,"End Of Day (from Real-Time)",49.02,49.07,48.6,48.79,339923
"3","TEG.N",20110105,NA,"End Of Day (from Real-Time)",48.7,48.79,48.23,48.25,236173
"4","TEG.N",20110106,NA,"End Of Day (from Real-Time)",48.3,48.34,47.67,48.21,191319
"5","TEG.N",20110107,NA,"End Of Day (from Real-Time)",48.37,48.48,47.82,48.3,809809
"6","TEG.N",20110110,NA,"End Of Day (from Real-Time)",48.32,48.33,47.53,47.79,177933
"7","TEG.N",20110111,NA,"End Of Day (from Real-Time)",47.93,48.11,47.68,48.11,230743
"8","TEG.N",20110112,NA,"End Of Day (from Real-Time)",48.39,48.47,47.93,48.06,138449
"9","TEG.N",20110113,NA,"End Of Day (from Real-Time)",48,48.09,47.62,47.72,226717
"10","TEG.N",20110114,NA,"End Of Day (from Real-Time)",47.7,48.19,47.67,47.97,170356
"11","TEG.N",20110118,NA,"End Of Day (from Real-Time)",47.98,48.32,47.91,48.23,231861
"12","TEG.N",20110119,NA,"End Of Day (from Real-Time)",48.3,48.37,47.95,48.25,148412
"13","TEG.N",20110120,NA,"End Of Day (from Real-Time)",48.2,48.59,48.04,48.32,159601
"14","TEG.N",20110121,NA,"End Of Day (from Real-Time)",48.61,48.61,47.85,48.01,226712
"15","TEG.N",20110124,NA,"End Of Day (from Real-Time)",48.07,48.37,47.92,48.08,165328
"16","TEG.N",20110125,NA,"End Of Day (from Real-Time)",48.03,48.26,47.78,48.17,107755
"17","TEG.N",20110126,NA,"End Of Day (from Real-Time)",48.25,48.4,47.9,48.3,188848
"18","TEG.N",20110127,NA,"End Of Day (from Real-Time)",48.36,48.76,48.06,48.59,208899
"19","TEG.N",20110128,NA,"End Of Day (from Real-Time)",48.66,48.78,47.62,47.71,182957
"20","TEG.N",20110131,NA,"End Of Day (from Real-Time)",48.58,48.58,47.58,47.59,316871
"21","TEG.N",20110201,NA,"End Of Day (from Real-Time)",47.77,48.31,47.66,48.15,165938
"22","TEG.N",20110202,NA,"End Of Day (from Real-Time)",48.09,48.14,47.86,47.97,148794
"23","TEG.N",20110203,NA,"End Of Day (from Real-Time)",48,48.35,47.84,48.24,166017
"24","TEG.N",20110204,NA,"End Of Day (from Real-Time)",48.31,48.36,48.04,48.22,127776
"25","TEG.N",20110207,NA,"End Of Day (from Real-Time)",48.32,48.48,48.19,48.48,112483
"26","TEG.N",20110208,NA,"End Of Day (from Real-Time)",48.51,48.67,48.32,48.66,110872
"27","TEG.N",20110209,NA,"End Of Day (from Real-Time)",48.59,48.85,48.45,48.74,152585
"28","TEG.N",20110210,NA,"End Of Day (from Real-Time)",48.74,49.44,48.59,49.4,207555
"29","TEG.N",20110211,NA,"End Of Day (from Real-Time)",49.28,49.55,49.14,49.25,205953
"30","TEG.N",20110214,NA,"End Of Day (from Real-Time)",49.27,49.31,48.85,49.25,196266
"31","TEG.N",20110215,NA,"End Of Day (from Real-Time)",49.25,49.51,49.07,49.33,163856
