"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","THC.N",20110103,NA,"End Of Day (from Real-Time)",6.75,6.85,6.73,6.8,1345613
"2","THC.N",20110104,NA,"End Of Day (from Real-Time)",6.85,6.89,6.77,6.84,1578665
"3","THC.N",20110105,NA,"End Of Day (from Real-Time)",6.83,6.9,6.77,6.86,1409759
"4","THC.N",20110106,NA,"End Of Day (from Real-Time)",6.9,6.92,6.83,6.87,1923187
"5","THC.N",20110107,NA,"End Of Day (from Real-Time)",6.86,6.9,6.8,6.89,1240604
"6","THC.N",20110110,NA,"End Of Day (from Real-Time)",6.87,6.91,6.79,6.84,1968723
"7","THC.N",20110111,NA,"End Of Day (from Real-Time)",6.97,6.97,6.85,6.88,2728695
"8","THC.N",20110112,NA,"End Of Day (from Real-Time)",6.93,7.01,6.84,7.01,2718172
"9","THC.N",20110113,NA,"End Of Day (from Real-Time)",6.98,7.07,6.94,7,1783625
"10","THC.N",20110114,NA,"End Of Day (from Real-Time)",6.98,7.1,6.96,7.06,1737053
"11","THC.N",20110118,NA,"End Of Day (from Real-Time)",7.04,7.09,7.02,7.04,1277754
"12","THC.N",20110119,NA,"End Of Day (from Real-Time)",7.03,7.04,6.85,6.85,3933864
"13","THC.N",20110120,NA,"End Of Day (from Real-Time)",6.85,6.9,6.69,6.75,2738192
"14","THC.N",20110121,NA,"End Of Day (from Real-Time)",6.78,6.8,6.68,6.7,1715909
"15","THC.N",20110124,NA,"End Of Day (from Real-Time)",6.71,6.83,6.66,6.82,2483654
"16","THC.N",20110125,NA,"End Of Day (from Real-Time)",6.76,6.84,6.74,6.8,1103611
"17","THC.N",20110126,NA,"End Of Day (from Real-Time)",6.83,6.85,6.75,6.75,1444653
"18","THC.N",20110127,NA,"End Of Day (from Real-Time)",6.75,6.8,6.73,6.74,745264
"19","THC.N",20110128,NA,"End Of Day (from Real-Time)",6.76,6.8,6.58,6.67,2141375
"20","THC.N",20110131,NA,"End Of Day (from Real-Time)",6.65,6.78,6.64,6.65,1507934
"21","THC.N",20110201,NA,"End Of Day (from Real-Time)",6.73,6.73,6.6,6.65,2308954
"22","THC.N",20110202,NA,"End Of Day (from Real-Time)",6.61,6.68,6.6,6.68,915719
