"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","TJX.N",20110103,NA,"End Of Day (from Real-Time)",44.53,44.56,43.62,43.81,1110038
"2","TJX.N",20110104,NA,"End Of Day (from Real-Time)",43.84,43.97,43.54,43.58,1198020
"3","TJX.N",20110105,NA,"End Of Day (from Real-Time)",43.41,43.43,42.55,43,1396829
"4","TJX.N",20110106,NA,"End Of Day (from Real-Time)",44,45.71,43.84,45.52,2204974
"5","TJX.N",20110107,NA,"End Of Day (from Real-Time)",45.66,45.95,45.32,45.65,1399059
"6","TJX.N",20110110,NA,"End Of Day (from Real-Time)",45.49,45.9,45.34,45.58,935476
"7","TJX.N",20110111,NA,"End Of Day (from Real-Time)",45.92,46,45.59,45.68,838853
"8","TJX.N",20110112,NA,"End Of Day (from Real-Time)",45.79,46.12,45.65,45.89,636308
"9","TJX.N",20110113,NA,"End Of Day (from Real-Time)",45.82,46.09,45.46,45.52,601136
"10","TJX.N",20110114,NA,"End Of Day (from Real-Time)",45.44,46.06,45.26,45.97,622443
"11","TJX.N",20110118,NA,"End Of Day (from Real-Time)",45.94,46.22,45.8,46.18,644820
"12","TJX.N",20110119,NA,"End Of Day (from Real-Time)",46.23,46.97,46.19,46.74,908420
"13","TJX.N",20110120,NA,"End Of Day (from Real-Time)",46.71,47.23,46.45,47.02,1346141
"14","TJX.N",20110121,NA,"End Of Day (from Real-Time)",47.16,47.4,46.98,47.23,999996
"15","TJX.N",20110124,NA,"End Of Day (from Real-Time)",46.52,47.85,46.47,47.55,1060353
"16","TJX.N",20110125,NA,"End Of Day (from Real-Time)",47.58,48.58,47.44,48.56,1272149
"17","TJX.N",20110126,NA,"End Of Day (from Real-Time)",48.56,48.74,48.16,48.59,906958
"18","TJX.N",20110127,NA,"End Of Day (from Real-Time)",48.6,48.68,48.25,48.61,692773
"19","TJX.N",20110128,NA,"End Of Day (from Real-Time)",48.56,48.75,47.6,47.71,1026513
"20","TJX.N",20110131,NA,"End Of Day (from Real-Time)",47.64,47.66,47.1,47.39,1151196
"21","TJX.N",20110201,NA,"End Of Day (from Real-Time)",47.59,48.25,47.34,47.94,1039892
"22","TJX.N",20110202,NA,"End Of Day (from Real-Time)",47.49,47.88,46.95,47.13,1008395
"23","TJX.N",20110203,NA,"End Of Day (from Real-Time)",48.4,49.84,48.35,49.51,1428527
"24","TJX.N",20110204,NA,"End Of Day (from Real-Time)",49.49,49.82,49.39,49.7,843857
"25","TJX.N",20110207,NA,"End Of Day (from Real-Time)",49.62,50.07,49.49,49.79,999551
"26","TJX.N",20110208,NA,"End Of Day (from Real-Time)",49.64,49.9,49.46,49.84,523341
"27","TJX.N",20110209,NA,"End Of Day (from Real-Time)",49.6,49.99,49.16,49.37,735332
"28","TJX.N",20110210,NA,"End Of Day (from Real-Time)",49.25,50.04,49.22,49.98,770077
"29","TJX.N",20110211,NA,"End Of Day (from Real-Time)",49.82,51,49.61,50.8,987711
"30","TJX.N",20110214,NA,"End Of Day (from Real-Time)",50.09,50.32,49.49,49.54,735247
"31","TJX.N",20110215,NA,"End Of Day (from Real-Time)",49.55,49.97,49.17,49.3,587724
"32","TJX.N",20110216,NA,"End Of Day (from Real-Time)",49.64,50,49.36,49.42,588964
"33","TJX.N",20110217,NA,"End Of Day (from Real-Time)",49.35,49.51,49.12,49.2,939805
"34","TJX.N",20110218,NA,"End Of Day (from Real-Time)",49.35,50.11,49.3,50.08,1062914
"35","TJX.N",20110222,NA,"End Of Day (from Real-Time)",49.77,50.23,49.37,49.72,884450
"36","TJX.N",20110223,NA,"End Of Day (from Real-Time)",48.71,49.96,47.84,48.81,1732076
"37","TJX.N",20110224,NA,"End Of Day (from Real-Time)",48.99,50.47,48.99,50.24,1344065
"38","TJX.N",20110225,NA,"End Of Day (from Real-Time)",50.27,50.89,49.84,50.33,954316
"39","TJX.N",20110228,NA,"End Of Day (from Real-Time)",50.2,50.3,49.75,49.87,1390999
"40","TJX.N",20110301,NA,"End Of Day (from Real-Time)",50.36,50.37,49.47,49.62,1158630
"41","TJX.N",20110302,NA,"End Of Day (from Real-Time)",49.5,50.49,49.43,50.47,962921
"42","TJX.N",20110303,NA,"End Of Day (from Real-Time)",50.51,51.1,50.33,50.94,1425027
"43","TJX.N",20110304,NA,"End Of Day (from Real-Time)",50.86,51.1,50.15,50.58,873790
"44","TJX.N",20110307,NA,"End Of Day (from Real-Time)",50.65,50.68,49.31,49.32,1153989
"45","TJX.N",20110308,NA,"End Of Day (from Real-Time)",49.5,49.87,49.12,49.51,1036023
"46","TJX.N",20110309,NA,"End Of Day (from Real-Time)",49.53,49.83,49.35,49.59,644469
"47","TJX.N",20110310,NA,"End Of Day (from Real-Time)",49.28,49.89,49.14,49.47,672009
"48","TJX.N",20110311,NA,"End Of Day (from Real-Time)",49.49,50,49.13,49.77,500417
"49","TJX.N",20110314,NA,"End Of Day (from Real-Time)",49.7,49.91,49.1,49.38,758066
"50","TJX.N",20110315,NA,"End Of Day (from Real-Time)",48.56,49.39,48.5,49.08,1531224
"51","TJX.N",20110316,NA,"End Of Day (from Real-Time)",48.86,49.26,48.33,48.59,1179910
"52","TJX.N",20110317,NA,"End Of Day (from Real-Time)",49.16,49.36,48.57,48.67,655304
"53","TJX.N",20110318,NA,"End Of Day (from Real-Time)",49.04,49.08,48.25,48.66,1809620
"54","TJX.N",20110321,NA,"End Of Day (from Real-Time)",48.97,49.32,48.6,49.27,692035
"55","TJX.N",20110322,NA,"End Of Day (from Real-Time)",49.35,49.55,48.83,48.86,607227
"56","TJX.N",20110323,NA,"End Of Day (from Real-Time)",48.78,49.66,48.56,49.54,550537
"57","TJX.N",20110324,NA,"End Of Day (from Real-Time)",49.66,50.51,49.66,50.32,735701
"58","TJX.N",20110325,NA,"End Of Day (from Real-Time)",50.33,50.61,50.12,50.15,461397
"59","TJX.N",20110328,NA,"End Of Day (from Real-Time)",50.12,50.24,49.18,49.21,847745
"60","TJX.N",20110329,NA,"End Of Day (from Real-Time)",49.15,49.54,48.95,49.48,634260
"61","TJX.N",20110330,NA,"End Of Day (from Real-Time)",49.69,50.27,49.49,50.09,781445
"62","TJX.N",20110331,NA,"End Of Day (from Real-Time)",49.97,50.22,49.25,49.73,1150715
"63","TJX.N",20110401,NA,"End Of Day (from Real-Time)",49.92,50.03,49.41,49.5,761151
"64","TJX.N",20110404,NA,"End Of Day (from Real-Time)",49.6,49.83,49.31,49.6,557782
"65","TJX.N",20110405,NA,"End Of Day (from Real-Time)",49.59,51,49.55,50.97,1003719
"66","TJX.N",20110406,NA,"End Of Day (from Real-Time)",51,51.6,50.8,51.55,1096909
"67","TJX.N",20110407,NA,"End Of Day (from Real-Time)",50.99,51.95,50.49,51.12,962921
"68","TJX.N",20110408,NA,"End Of Day (from Real-Time)",51.48,51.48,50.43,50.7,761887
"69","TJX.N",20110411,NA,"End Of Day (from Real-Time)",50.62,51.23,50.59,51.09,596363
"70","TJX.N",20110412,NA,"End Of Day (from Real-Time)",50.83,51.57,50.82,51.06,652554
"71","TJX.N",20110413,NA,"End Of Day (from Real-Time)",51.13,51.5,50.64,51.26,707959
"72","TJX.N",20110414,NA,"End Of Day (from Real-Time)",50.99,51.15,50.49,51.13,670987
"73","TJX.N",20110415,NA,"End Of Day (from Real-Time)",51,51.6,50.75,51.42,1036576
"74","TJX.N",20110418,NA,"End Of Day (from Real-Time)",50.94,51.81,50.68,51.72,919917
"75","TJX.N",20110419,NA,"End Of Day (from Real-Time)",51.73,51.93,51.36,51.78,653629
"76","TJX.N",20110420,NA,"End Of Day (from Real-Time)",51.88,52.6,51.86,52.31,979711
"77","TJX.N",20110421,NA,"End Of Day (from Real-Time)",52.48,52.65,52.14,52.55,507258
"78","TJX.N",20110425,NA,"End Of Day (from Real-Time)",52.43,52.68,52.2,52.63,568106
"79","TJX.N",20110426,NA,"End Of Day (from Real-Time)",52.83,53.58,52.77,53.17,729034
