"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","TMK.N",20110103,NA,"End Of Day (from Real-Time)",60.39,60.86,60.12,60.68,169356
"2","TMK.N",20110104,NA,"End Of Day (from Real-Time)",60.48,61.31,60.2,61.11,379683
"3","TMK.N",20110105,NA,"End Of Day (from Real-Time)",60.84,61.88,60.81,61.81,271330
"4","TMK.N",20110106,NA,"End Of Day (from Real-Time)",61.79,61.9,61.27,61.48,138361
"5","TMK.N",20110107,NA,"End Of Day (from Real-Time)",61.86,61.99,60.76,61.36,159254
"6","TMK.N",20110110,NA,"End Of Day (from Real-Time)",60.96,61.71,60.41,61.47,148855
"7","TMK.N",20110111,NA,"End Of Day (from Real-Time)",61.69,61.89,60.63,60.95,190088
"8","TMK.N",20110112,NA,"End Of Day (from Real-Time)",61.57,62.06,61.4,61.63,105664
"9","TMK.N",20110113,NA,"End Of Day (from Real-Time)",61.69,61.79,61.08,61.31,100111
"10","TMK.N",20110114,NA,"End Of Day (from Real-Time)",61.21,61.61,60.88,61.56,153723
"11","TMK.N",20110118,NA,"End Of Day (from Real-Time)",61.65,61.96,61.19,61.4,106175
"12","TMK.N",20110119,NA,"End Of Day (from Real-Time)",61.01,61.46,60.77,61.07,190578
"13","TMK.N",20110120,NA,"End Of Day (from Real-Time)",61.04,61.61,60.82,61.09,219045
"14","TMK.N",20110121,NA,"End Of Day (from Real-Time)",61.59,61.7,60.99,61.4,147924
"15","TMK.N",20110124,NA,"End Of Day (from Real-Time)",61.42,61.71,60.95,61.7,187875
"16","TMK.N",20110125,NA,"End Of Day (from Real-Time)",61.58,62.29,61.37,62.26,133070
"17","TMK.N",20110126,NA,"End Of Day (from Real-Time)",62.48,62.99,62.34,62.78,133106
"18","TMK.N",20110127,NA,"End Of Day (from Real-Time)",62.75,63.74,62.48,63.52,142733
"19","TMK.N",20110128,NA,"End Of Day (from Real-Time)",63.49,63.49,62.31,62.38,201320
"20","TMK.N",20110131,NA,"End Of Day (from Real-Time)",62.49,62.9,62.25,62.3,207940
"21","TMK.N",20110201,NA,"End Of Day (from Real-Time)",62.67,63.55,62.66,63.42,164934
"22","TMK.N",20110202,NA,"End Of Day (from Real-Time)",63.18,63.57,62.7,62.77,106362
"23","TMK.N",20110203,NA,"End Of Day (from Real-Time)",62.72,62.82,62.14,62.73,137219
"24","TMK.N",20110204,NA,"End Of Day (from Real-Time)",62.73,63.72,62.47,63.6,131711
"25","TMK.N",20110207,NA,"End Of Day (from Real-Time)",62.83,64.5,62.83,64.42,215532
"26","TMK.N",20110208,NA,"End Of Day (from Real-Time)",64.25,64.55,63.95,64.49,168706
"27","TMK.N",20110209,NA,"End Of Day (from Real-Time)",63.99,64.6,63.97,64.55,188071
"28","TMK.N",20110210,NA,"End Of Day (from Real-Time)",63.45,63.54,62.27,62.83,352072
"29","TMK.N",20110211,NA,"End Of Day (from Real-Time)",62.49,63.54,62.49,63.44,197619
"30","TMK.N",20110214,NA,"End Of Day (from Real-Time)",63.39,63.56,62.79,63.02,116228
"31","TMK.N",20110215,NA,"End Of Day (from Real-Time)",62.73,63.32,62.73,63.29,139797
