"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","TMO.N",20110103,NA,"End Of Day (from Real-Time)",55.64,56.53,55.57,56.46,863761
"2","TMO.N",20110104,NA,"End Of Day (from Real-Time)",56.46,56.79,56.21,56.72,772879
"3","TMO.N",20110105,NA,"End Of Day (from Real-Time)",56.32,56.6,56.07,56.52,615730
"4","TMO.N",20110106,NA,"End Of Day (from Real-Time)",56.65,56.8,56.34,56.58,743780
"5","TMO.N",20110107,NA,"End Of Day (from Real-Time)",56.52,56.58,56.01,56.37,447827
"6","TMO.N",20110110,NA,"End Of Day (from Real-Time)",55.89,56.62,55.83,56.14,413536
"7","TMO.N",20110111,NA,"End Of Day (from Real-Time)",56.46,56.86,55.95,56.06,618369
"8","TMO.N",20110112,NA,"End Of Day (from Real-Time)",56.34,56.92,56.3,56.64,408592
"9","TMO.N",20110113,NA,"End Of Day (from Real-Time)",56.58,56.84,56.28,56.54,337684
"10","TMO.N",20110114,NA,"End Of Day (from Real-Time)",56.31,56.68,55.87,56.65,413884
"11","TMO.N",20110118,NA,"End Of Day (from Real-Time)",56.62,57.04,56.62,56.83,1028699
"12","TMO.N",20110119,NA,"End Of Day (from Real-Time)",56.65,56.74,55.73,56.08,471078
"13","TMO.N",20110120,NA,"End Of Day (from Real-Time)",55.7,55.95,54.8,55.29,882344
"14","TMO.N",20110121,NA,"End Of Day (from Real-Time)",55.74,56.1,55.39,55.51,711456
"15","TMO.N",20110124,NA,"End Of Day (from Real-Time)",55.58,56.71,55.58,56.24,493786
"16","TMO.N",20110125,NA,"End Of Day (from Real-Time)",56.12,57.1,56.11,56.91,482825
"17","TMO.N",20110126,NA,"End Of Day (from Real-Time)",57.13,57.73,56.88,57.57,948484
"18","TMO.N",20110127,NA,"End Of Day (from Real-Time)",57.64,57.95,57.45,57.85,459386
"19","TMO.N",20110128,NA,"End Of Day (from Real-Time)",57.84,58.08,56.73,57.01,575696
"20","TMO.N",20110131,NA,"End Of Day (from Real-Time)",57.03,57.32,56.63,57.27,570360
"21","TMO.N",20110201,NA,"End Of Day (from Real-Time)",57.51,58.16,56.91,57.41,777969
"22","TMO.N",20110202,NA,"End Of Day (from Real-Time)",56.11,56.91,55.78,56.06,721734
"23","TMO.N",20110203,NA,"End Of Day (from Real-Time)",55.83,56.23,55.24,55.92,588141
"24","TMO.N",20110204,NA,"End Of Day (from Real-Time)",56.06,56.09,55.22,55.96,691502
"25","TMO.N",20110207,NA,"End Of Day (from Real-Time)",56.02,56.16,55.35,56.03,553501
"26","TMO.N",20110208,NA,"End Of Day (from Real-Time)",55.97,56.13,55.51,55.88,537896
"27","TMO.N",20110209,NA,"End Of Day (from Real-Time)",55.88,56.96,55.86,56.95,814171
"28","TMO.N",20110210,NA,"End Of Day (from Real-Time)",57.01,57.13,56.73,57,586983
"29","TMO.N",20110211,NA,"End Of Day (from Real-Time)",56.88,57.93,56.78,57.85,520378
"30","TMO.N",20110214,NA,"End Of Day (from Real-Time)",57.65,57.7,57.07,57.15,486776
"31","TMO.N",20110215,NA,"End Of Day (from Real-Time)",57.13,57.23,56.39,56.62,575719
"32","TMO.N",20110216,NA,"End Of Day (from Real-Time)",56.7,57.65,56.51,57.17,579892
"33","TMO.N",20110217,NA,"End Of Day (from Real-Time)",56.5,57.31,56.23,57.2,529777
"34","TMO.N",20110218,NA,"End Of Day (from Real-Time)",57.49,58.01,57.36,57.68,774186
"35","TMO.N",20110222,NA,"End Of Day (from Real-Time)",57.08,57.18,56.03,56.15,761218
"36","TMO.N",20110223,NA,"End Of Day (from Real-Time)",56.09,56.2,54.94,54.97,659873
"37","TMO.N",20110224,NA,"End Of Day (from Real-Time)",54.6,55.8,54.52,55.33,738053
"38","TMO.N",20110225,NA,"End Of Day (from Real-Time)",55.41,55.79,55.18,55.56,672210
"39","TMO.N",20110228,NA,"End Of Day (from Real-Time)",55.49,56.01,55.48,55.82,1124406
"40","TMO.N",20110301,NA,"End Of Day (from Real-Time)",56.36,56.73,55.56,55.65,916779
"41","TMO.N",20110302,NA,"End Of Day (from Real-Time)",55.5,56.24,55.37,55.96,603484
"42","TMO.N",20110303,NA,"End Of Day (from Real-Time)",56.44,57.39,56.36,57.21,733793
"43","TMO.N",20110304,NA,"End Of Day (from Real-Time)",57.19,57.47,56.52,57.02,1199242
"44","TMO.N",20110307,NA,"End Of Day (from Real-Time)",57.01,57.44,56.07,56.61,600617
"45","TMO.N",20110308,NA,"End Of Day (from Real-Time)",56.76,57.1,56.29,56.9,604337
"46","TMO.N",20110309,NA,"End Of Day (from Real-Time)",56.7,56.73,55.59,55.9,729642
"47","TMO.N",20110310,NA,"End Of Day (from Real-Time)",55.19,55.6,54.48,54.84,969501
"48","TMO.N",20110311,NA,"End Of Day (from Real-Time)",54.81,55.48,54.58,55.25,840867
"49","TMO.N",20110314,NA,"End Of Day (from Real-Time)",54.99,55.28,54.09,54.68,795185
"50","TMO.N",20110315,NA,"End Of Day (from Real-Time)",53.73,54.49,52.8,54.08,1026921
"51","TMO.N",20110316,NA,"End Of Day (from Real-Time)",53.81,53.86,52.48,52.92,1070175
