"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","TROW.O",20110103,NA,"End Of Day (from Real-Time)",64.92,66.15,64.88,65.78,2496412
"2","TROW.O",20110104,NA,"End Of Day (from Real-Time)",64.65,65.36,64.15,64.28,2078738
"3","TROW.O",20110105,NA,"End Of Day (from Real-Time)",64.35,65.16,64.34,65.16,1886686
"4","TROW.O",20110106,NA,"End Of Day (from Real-Time)",65.24,66.09,64.945,65.16,1563853
"5","TROW.O",20110107,NA,"End Of Day (from Real-Time)",65.29,65.81,63.97,64.63,1452197
"6","TROW.O",20110110,NA,"End Of Day (from Real-Time)",64.23,64.95,63.68,64.73,1281589
"7","TROW.O",20110111,NA,"End Of Day (from Real-Time)",64.99,66.01,64.91,65.21,1087395
"8","TROW.O",20110112,NA,"End Of Day (from Real-Time)",65.59,66.65,65.54,66.61,1444616
"9","TROW.O",20110113,NA,"End Of Day (from Real-Time)",66.49,67.47,66.31,66.74,1533585
"10","TROW.O",20110114,NA,"End Of Day (from Real-Time)",66.51,67.76,66.09,67.7,1883909
"11","TROW.O",20110118,NA,"End Of Day (from Real-Time)",67.57,67.92,66.94,67.86,1324475
"12","TROW.O",20110119,NA,"End Of Day (from Real-Time)",67.44,67.59,65.89,66.02,1544259
"13","TROW.O",20110120,NA,"End Of Day (from Real-Time)",66.26,66.96,65.42,65.63,1241035
"14","TROW.O",20110121,NA,"End Of Day (from Real-Time)",66.16,66.75,65.87,66.25,1189137
"15","TROW.O",20110124,NA,"End Of Day (from Real-Time)",65.34,66.53,65.31,66.52,1271848
"16","TROW.O",20110125,NA,"End Of Day (from Real-Time)",66.5,66.85,65.84,66.83,1452272
"17","TROW.O",20110126,NA,"End Of Day (from Real-Time)",67.18,67.52,66.59,67.29,1279116
"18","TROW.O",20110127,NA,"End Of Day (from Real-Time)",67.37,68.23,67.13,68.07,1537498
"19","TROW.O",20110128,NA,"End Of Day (from Real-Time)",68.9,68.98,64.96,65.85,2830185
"20","TROW.O",20110131,NA,"End Of Day (from Real-Time)",65.91,66.34,64.97,65.92,2165385
"21","TROW.O",20110201,NA,"End Of Day (from Real-Time)",66,67.6,65.965,67.21,1743797
"22","TROW.O",20110202,NA,"End Of Day (from Real-Time)",66.75,67.02,66.3,66.52,1311880
"23","TROW.O",20110203,NA,"End Of Day (from Real-Time)",66.43,66.75,65.51,66.12,1170713
"24","TROW.O",20110204,NA,"End Of Day (from Real-Time)",66.29,66.87,65.93,66.08,1436946
"25","TROW.O",20110207,NA,"End Of Day (from Real-Time)",66.28,67.56,66.2,67.01,1511474
"26","TROW.O",20110208,NA,"End Of Day (from Real-Time)",67.25,67.5,66.8,67.25,1011881
"27","TROW.O",20110209,NA,"End Of Day (from Real-Time)",67.19,67.49,66.7801,67.125,856295
"28","TROW.O",20110210,NA,"End Of Day (from Real-Time)",66.71,68.21,66.71,68.07,1037229
"29","TROW.O",20110211,NA,"End Of Day (from Real-Time)",67.83,69.25,67.61,68.98,1066819
"30","TROW.O",20110214,NA,"End Of Day (from Real-Time)",68.77,69.48,68.6,69.32,904151
"31","TROW.O",20110215,NA,"End Of Day (from Real-Time)",68.93,69.56,68.87,69.19,953346
"32","TROW.O",20110216,NA,"End Of Day (from Real-Time)",69.4,70.74,69.28,70.49,1500549
"33","TROW.O",20110217,NA,"End Of Day (from Real-Time)",70.51,70.53,69.88,70.33,882353
"34","TROW.O",20110218,NA,"End Of Day (from Real-Time)",70.5,71.29,70.09,71.1,1214128
"35","TROW.O",20110222,NA,"End Of Day (from Real-Time)",70.08,70.64,67.45,67.63,1846877
"36","TROW.O",20110223,NA,"End Of Day (from Real-Time)",67.66,68.1,65.54,66.25,2089649
"37","TROW.O",20110224,NA,"End Of Day (from Real-Time)",66.44,67.15,65.47,66.3,1931669
"38","TROW.O",20110225,NA,"End Of Day (from Real-Time)",66.59,67.25,66.39,67.12,1992926
"39","TROW.O",20110228,NA,"End Of Day (from Real-Time)",67.4,67.8,66.47,66.98,1868604
"40","TROW.O",20110301,NA,"End Of Day (from Real-Time)",67.17,67.34,65.14,65.35,1818909
"41","TROW.O",20110302,NA,"End Of Day (from Real-Time)",65.39,65.86,64.73,65.52,997957
"42","TROW.O",20110303,NA,"End Of Day (from Real-Time)",66.39,67.8399,66.13,67.62,1206496
"43","TROW.O",20110304,NA,"End Of Day (from Real-Time)",67.48,67.56,65.85,66.74,1282796
"44","TROW.O",20110307,NA,"End Of Day (from Real-Time)",67.03,67.63,65.74,65.94,979109
"45","TROW.O",20110308,NA,"End Of Day (from Real-Time)",66.22,67.69,65.88,67.58,1328546
"46","TROW.O",20110309,NA,"End Of Day (from Real-Time)",67.43,67.63,66.47,66.69,1850111
"47","TROW.O",20110310,NA,"End Of Day (from Real-Time)",65.51,65.65,64.23,64.38,1962429
"48","TROW.O",20110311,NA,"End Of Day (from Real-Time)",64.12,64.81,63.82,64.72,1120362
"49","TROW.O",20110314,NA,"End Of Day (from Real-Time)",64.08,64.42,63.26,63.69,2092023
"50","TROW.O",20110315,NA,"End Of Day (from Real-Time)",61.39,62.57,61.03,61.96,3308249
"51","TROW.O",20110316,NA,"End Of Day (from Real-Time)",61.94,62.66,60.58,60.83,2154791
"52","TROW.O",20110317,NA,"End Of Day (from Real-Time)",62.05,62.67,61.36,61.99,1335389
"53","TROW.O",20110318,NA,"End Of Day (from Real-Time)",62.87,63.4,62.14,62.24,2061111
"54","TROW.O",20110321,NA,"End Of Day (from Real-Time)",63.17,63.8,62.87,63.68,1531371
"55","TROW.O",20110322,NA,"End Of Day (from Real-Time)",63.57,63.57,62.77,63.03,2143148
"56","TROW.O",20110323,NA,"End Of Day (from Real-Time)",62.68,63.91,62.1,63.76,1342371
"57","TROW.O",20110324,NA,"End Of Day (from Real-Time)",64.44,64.59,63.67,64.5,1224106
"58","TROW.O",20110325,NA,"End Of Day (from Real-Time)",64.64,65.65,64.41,65.07,1365518
"59","TROW.O",20110328,NA,"End Of Day (from Real-Time)",65.26,65.26,64.35,64.43,954089
"60","TROW.O",20110329,NA,"End Of Day (from Real-Time)",64.39,65.17,63.86,65.17,1496867
"61","TROW.O",20110330,NA,"End Of Day (from Real-Time)",65.24,66.9649,65.24,66.19,1576229
"62","TROW.O",20110331,NA,"End Of Day (from Real-Time)",65.9,66.49,65.61,66.42,1117333
"63","TROW.O",20110401,NA,"End Of Day (from Real-Time)",67.07,67.94,67.06,67.89,1808998
"64","TROW.O",20110404,NA,"End Of Day (from Real-Time)",68.05,68.1699,67.14,67.31,895118
"65","TROW.O",20110405,NA,"End Of Day (from Real-Time)",66.88,67.43,66.47,67.35,1004839
"66","TROW.O",20110406,NA,"End Of Day (from Real-Time)",67.64,68.06,67.42,67.92,961530
"67","TROW.O",20110407,NA,"End Of Day (from Real-Time)",67.7,68.2579,67.23,67.92,998579
"68","TROW.O",20110408,NA,"End Of Day (from Real-Time)",68.49,68.59,67.57,67.85,1163772
"69","TROW.O",20110411,NA,"End Of Day (from Real-Time)",68.25,68.3,66.92,67.3,1002897
"70","TROW.O",20110412,NA,"End Of Day (from Real-Time)",66.89,67.04,66.045,66.52,881217
"71","TROW.O",20110413,NA,"End Of Day (from Real-Time)",67.01,67.49,66.47,67.08,1269595
"72","TROW.O",20110414,NA,"End Of Day (from Real-Time)",66.83,66.87,66.28,66.56,790357
"73","TROW.O",20110415,NA,"End Of Day (from Real-Time)",66.73,67.11,66.25,67.01,998303
"74","TROW.O",20110418,NA,"End Of Day (from Real-Time)",65.95,66.1,64.92,65.665,1302191
"75","TROW.O",20110419,NA,"End Of Day (from Real-Time)",65.94,66.18,65.43,66.04,1095954
"76","TROW.O",20110420,NA,"End Of Day (from Real-Time)",66.25,66.97,65.96,66.37,2157172
"77","TROW.O",20110421,NA,"End Of Day (from Real-Time)",64.24,64.73,63.34,64.08,2986364
"78","TROW.O",20110425,NA,"End Of Day (from Real-Time)",63.97,64.13,63.04,63.31,2567617
"79","TROW.O",20110426,NA,"End Of Day (from Real-Time)",63.4,64.05,63.37,63.7,3535340
"80","TROW.O",20110427,NA,"End Of Day (from Real-Time)",63.81,64.97,63.54,64.94,2654466
"81","TROW.O",20110428,NA,"End Of Day (from Real-Time)",64.91,64.97,64.061,64.62,1701314
"82","TROW.O",20110429,NA,"End Of Day (from Real-Time)",64.47,64.69,64,64.25,1118587
"83","TROW.O",20110502,NA,"End Of Day (from Real-Time)",64.61,64.65,63.71,63.92,1384963
"84","TROW.O",20110503,NA,"End Of Day (from Real-Time)",63.8,63.8,62.6251,62.99,2070137
"85","TROW.O",20110504,NA,"End Of Day (from Real-Time)",63,63.18,62.06,62.78,2027171
"86","TROW.O",20110505,NA,"End Of Day (from Real-Time)",62.39,63.61,62.16,62.47,1735912
"87","TROW.O",20110506,NA,"End Of Day (from Real-Time)",63.34,63.92,62.48,62.52,1714564
"88","TROW.O",20110509,NA,"End Of Day (from Real-Time)",62.35,62.7,61.87,62.63,1346791
"89","TROW.O",20110510,NA,"End Of Day (from Real-Time)",62.9,63.45,62.7,63.28,1171770
"90","TROW.O",20110511,NA,"End Of Day (from Real-Time)",63.16,63.29,61.83,62.17,1357687
"91","TROW.O",20110512,NA,"End Of Day (from Real-Time)",61.97,62.85,61.51,62.78,1320517
"92","TROW.O",20110513,NA,"End Of Day (from Real-Time)",62.8,62.92,61.8,62,1507522
"93","TROW.O",20110516,NA,"End Of Day (from Real-Time)",61.77,62.81,61.7,61.87,1377616
"94","TROW.O",20110517,NA,"End Of Day (from Real-Time)",61.56,62.35,61.33,62.18,1896368
"95","TROW.O",20110518,NA,"End Of Day (from Real-Time)",62.29,63.56,61.94,63.28,1792029
"96","TROW.O",20110519,NA,"End Of Day (from Real-Time)",63.6,64.1,63.42,63.73,1437188
"97","TROW.O",20110520,NA,"End Of Day (from Real-Time)",63.47,63.7,62.66,62.91,1611839
"98","TROW.O",20110523,NA,"End Of Day (from Real-Time)",62.08,62.26,61.52,61.93,1480471
"99","TROW.O",20110524,NA,"End Of Day (from Real-Time)",62.09,62.5,61.7,62.22,1487183
"100","TROW.O",20110525,NA,"End Of Day (from Real-Time)",61.88,62.49,61.56,62.12,1063996
"101","TROW.O",20110526,NA,"End Of Day (from Real-Time)",61.85,62.37,61.3,62.12,1676542
"102","TROW.O",20110527,NA,"End Of Day (from Real-Time)",62.4,62.78,62.23,62.44,1021963
"103","TROW.O",20110531,NA,"End Of Day (from Real-Time)",63.15,63.47,62.685,63.3,1497714
"104","TROW.O",20110601,NA,"End Of Day (from Real-Time)",61.29,61.73,59.43,59.52,4202047
"105","TROW.O",20110602,NA,"End Of Day (from Real-Time)",59.61,60.14,59.15,59.91,2409687
"106","TROW.O",20110603,NA,"End Of Day (from Real-Time)",59.35,59.73,58.65,58.97,2459774
"107","TROW.O",20110606,NA,"End Of Day (from Real-Time)",58.77,59,57.9,58.04,2522335
"108","TROW.O",20110607,NA,"End Of Day (from Real-Time)",58.58,59.27,58.24,58.47,1632009
"109","TROW.O",20110608,NA,"End Of Day (from Real-Time)",58.12,58.49,57.04,57.09,2973020
"110","TROW.O",20110609,NA,"End Of Day (from Real-Time)",57.46,58.34,57.03,58.13,2627871
"111","TROW.O",20110610,NA,"End Of Day (from Real-Time)",57.49,57.66,56.45,56.71,2789222
"112","TROW.O",20110613,NA,"End Of Day (from Real-Time)",56.97,57.27,56.39,56.68,2156339
"113","TROW.O",20110614,NA,"End Of Day (from Real-Time)",57.44,58.13,57.19,57.77,1848512
"114","TROW.O",20110615,NA,"End Of Day (from Real-Time)",57.2,57.58,56.295,56.66,2320564
"115","TROW.O",20110616,NA,"End Of Day (from Real-Time)",56.45,57.09,56.05,56.79,2770635
"116","TROW.O",20110617,NA,"End Of Day (from Real-Time)",57.62,57.83,57.01,57.23,1627617
"117","TROW.O",20110620,NA,"End Of Day (from Real-Time)",57.17,57.77,56.98,57.67,1165327
"118","TROW.O",20110621,NA,"End Of Day (from Real-Time)",57.98,59.24,57.96,58.73,2082854
"119","TROW.O",20110622,NA,"End Of Day (from Real-Time)",58.4,58.83,57.52,57.525,1721091
"120","TROW.O",20110623,NA,"End Of Day (from Real-Time)",56.86,57.17,55.94,57.08,2391238
"121","TROW.O",20110624,NA,"End Of Day (from Real-Time)",57.16,57.24,56.12,56.51,2065010
"122","TROW.O",20110627,NA,"End Of Day (from Real-Time)",56.24,57.85,56.24,57.68,1746435
"123","TROW.O",20110628,NA,"End Of Day (from Real-Time)",57.84,58.73,57.72,58.53,1512346
"124","TROW.O",20110629,NA,"End Of Day (from Real-Time)",58.93,59.39,58.61,59.28,1915335
"125","TROW.O",20110630,NA,"End Of Day (from Real-Time)",60.07,60.43,59.17,60.34,2202246
"126","TROW.O",20110701,NA,"End Of Day (from Real-Time)",60.39,61.14,59.91,61,1732033
"127","TROW.O",20110705,NA,"End Of Day (from Real-Time)",61.01,61.25,60.19,60.77,1739791
"128","TROW.O",20110706,NA,"End Of Day (from Real-Time)",60.55,61.05,59.92,61,1661056
"129","TROW.O",20110707,NA,"End Of Day (from Real-Time)",61.75,62.25,61.52,61.87,1487441
"130","TROW.O",20110708,NA,"End Of Day (from Real-Time)",60.8,61.14,60.15,60.91,1651531
"131","TROW.O",20110711,NA,"End Of Day (from Real-Time)",60.03,60.24,58.35,58.54,1735669
"132","TROW.O",20110712,NA,"End Of Day (from Real-Time)",58.5,59.72,58.5,58.74,1812516
"133","TROW.O",20110713,NA,"End Of Day (from Real-Time)",59.13,60.39,58.65,58.9,1957062
"134","TROW.O",20110714,NA,"End Of Day (from Real-Time)",59.15,59.27,58.03,58.44,2197561
"135","TROW.O",20110715,NA,"End Of Day (from Real-Time)",58.71,58.94,57.44,58.34,2112718
"136","TROW.O",20110718,NA,"End Of Day (from Real-Time)",57.98,58.12,56.64,57.25,1778883
"137","TROW.O",20110719,NA,"End Of Day (from Real-Time)",57.43,58.37,57.27,58.31,1291911
"138","TROW.O",20110720,NA,"End Of Day (from Real-Time)",58.32,58.6,57.59,57.79,1279381
"139","TROW.O",20110721,NA,"End Of Day (from Real-Time)",57.76,60.9,57.76,60.22,2851692
"140","TROW.O",20110722,NA,"End Of Day (from Real-Time)",60.34,60.78,59.99,60.32,1438875
"141","TROW.O",20110725,NA,"End Of Day (from Real-Time)",59.7,60.57,59.32,59.97,1832625
"142","TROW.O",20110726,NA,"End Of Day (from Real-Time)",60.18,61.05,59.61,60.06,2430011
"143","TROW.O",20110727,NA,"End Of Day (from Real-Time)",59.64,59.97,55.46,55.97,4823289
"144","TROW.O",20110728,NA,"End Of Day (from Real-Time)",55.89,57.67,55.81,56.41,2640920
"145","TROW.O",20110729,NA,"End Of Day (from Real-Time)",55.74,57.6,55.42,56.8,2590698
