"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","TSO.N",20110103,NA,"End Of Day (from Real-Time)",19.1,19.1,18.71,18.84,890844
"2","TSO.N",20110104,NA,"End Of Day (from Real-Time)",18.77,18.88,18.28,18.56,1291886
"3","TSO.N",20110105,NA,"End Of Day (from Real-Time)",18.44,19.37,18.37,19.12,1715677
"4","TSO.N",20110106,NA,"End Of Day (from Real-Time)",19.26,19.73,19.01,19.45,1704064
"5","TSO.N",20110107,NA,"End Of Day (from Real-Time)",19.45,19.53,19,19.35,973443
"6","TSO.N",20110110,NA,"End Of Day (from Real-Time)",19.38,19.43,18.91,18.95,1375888
"7","TSO.N",20110111,NA,"End Of Day (from Real-Time)",19,19.13,18.55,18.73,1574741
"8","TSO.N",20110112,NA,"End Of Day (from Real-Time)",18.81,18.94,18.67,18.77,1338439
"9","TSO.N",20110113,NA,"End Of Day (from Real-Time)",19.13,19.2,18.75,18.89,1860540
"10","TSO.N",20110114,NA,"End Of Day (from Real-Time)",18.86,19.01,18.44,18.85,1352788
"11","TSO.N",20110118,NA,"End Of Day (from Real-Time)",18.93,19.31,18.83,19.23,934807
"12","TSO.N",20110119,NA,"End Of Day (from Real-Time)",19.32,19.38,18.54,18.69,1366478
"13","TSO.N",20110120,NA,"End Of Day (from Real-Time)",18.47,18.47,17.6,18.06,1471115
"14","TSO.N",20110121,NA,"End Of Day (from Real-Time)",18.16,18.24,17.92,18.03,1055696
"15","TSO.N",20110124,NA,"End Of Day (from Real-Time)",17.75,18.11,17.68,18.1,1132522
"16","TSO.N",20110125,NA,"End Of Day (from Real-Time)",18.01,18.12,17.78,17.98,1682897
"17","TSO.N",20110126,NA,"End Of Day (from Real-Time)",18.11,18.77,18.01,18.67,1368584
"18","TSO.N",20110127,NA,"End Of Day (from Real-Time)",18.66,19.05,18.51,18.92,919340
"19","TSO.N",20110128,NA,"End Of Day (from Real-Time)",18.93,19.06,18.61,18.87,1152826
"20","TSO.N",20110131,NA,"End Of Day (from Real-Time)",18.9,19.43,18.9,19.25,1365834
"21","TSO.N",20110201,NA,"End Of Day (from Real-Time)",19.37,19.92,19.3,19.83,1724081
"22","TSO.N",20110202,NA,"End Of Day (from Real-Time)",19.77,20.39,19.53,19.65,2105816
"23","TSO.N",20110203,NA,"End Of Day (from Real-Time)",19.58,20.15,19.03,20.13,1734583
"24","TSO.N",20110204,NA,"End Of Day (from Real-Time)",20.5,21.77,20.43,20.79,2678972
"25","TSO.N",20110207,NA,"End Of Day (from Real-Time)",21.59,21.74,21.18,21.25,1428773
"26","TSO.N",20110208,NA,"End Of Day (from Real-Time)",21.3,21.45,20.95,21.44,1831182
"27","TSO.N",20110209,NA,"End Of Day (from Real-Time)",21.31,21.4,20.56,20.97,1246174
"28","TSO.N",20110210,NA,"End Of Day (from Real-Time)",20.76,21.58,20.72,21.51,1649103
"29","TSO.N",20110211,NA,"End Of Day (from Real-Time)",21.8,22.01,21.38,21.92,1910670
