"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","UNM.N",20110103,NA,"End Of Day (from Real-Time)",24.44,24.88,24.44,24.83,711442
"2","UNM.N",20110104,NA,"End Of Day (from Real-Time)",24.84,24.95,24.63,24.79,677602
"3","UNM.N",20110105,NA,"End Of Day (from Real-Time)",24.64,25.06,24.64,25.06,811252
"4","UNM.N",20110106,NA,"End Of Day (from Real-Time)",25.05,25.1,24.87,25.02,564107
"5","UNM.N",20110107,NA,"End Of Day (from Real-Time)",25.13,25.15,24.69,24.91,772977
"6","UNM.N",20110110,NA,"End Of Day (from Real-Time)",24.75,24.85,24.38,24.83,620239
"7","UNM.N",20110111,NA,"End Of Day (from Real-Time)",24.92,25.05,24.79,24.93,597499
"8","UNM.N",20110112,NA,"End Of Day (from Real-Time)",25.12,25.29,25.04,25.14,497715
"9","UNM.N",20110113,NA,"End Of Day (from Real-Time)",25.1,25.22,24.88,24.9,548448
"10","UNM.N",20110114,NA,"End Of Day (from Real-Time)",24.84,25.09,24.84,25.09,564021
"11","UNM.N",20110118,NA,"End Of Day (from Real-Time)",25.11,25.22,24.95,25.1,541069
"12","UNM.N",20110119,NA,"End Of Day (from Real-Time)",25.01,25.1,24.68,24.76,743009
"13","UNM.N",20110120,NA,"End Of Day (from Real-Time)",24.8,25.13,24.49,24.83,861191
"14","UNM.N",20110121,NA,"End Of Day (from Real-Time)",25.07,25.19,24.88,25.12,844866
"15","UNM.N",20110124,NA,"End Of Day (from Real-Time)",25.07,25.25,24.96,25.19,998275
"16","UNM.N",20110125,NA,"End Of Day (from Real-Time)",25.07,25.41,24.98,25.41,877652
"17","UNM.N",20110126,NA,"End Of Day (from Real-Time)",25.45,25.75,25.32,25.63,714153
"18","UNM.N",20110127,NA,"End Of Day (from Real-Time)",25.49,25.75,25.43,25.62,625041
"19","UNM.N",20110128,NA,"End Of Day (from Real-Time)",25.5,25.5,24.8,24.93,1528483
"20","UNM.N",20110131,NA,"End Of Day (from Real-Time)",25,25.12,24.87,24.94,810228
"21","UNM.N",20110201,NA,"End Of Day (from Real-Time)",25.16,25.64,25.11,25.64,697389
"22","UNM.N",20110202,NA,"End Of Day (from Real-Time)",25.5,25.64,25.11,25.13,732467
"23","UNM.N",20110203,NA,"End Of Day (from Real-Time)",25.17,25.43,24.63,25.23,990477
"24","UNM.N",20110204,NA,"End Of Day (from Real-Time)",25.26,25.88,25.26,25.78,872047
"25","UNM.N",20110207,NA,"End Of Day (from Real-Time)",25.8,26.26,25.78,26.14,821349
"26","UNM.N",20110208,NA,"End Of Day (from Real-Time)",26.2,26.32,26.05,26.26,728467
"27","UNM.N",20110209,NA,"End Of Day (from Real-Time)",26.09,26.37,26.01,26.29,782262
"28","UNM.N",20110210,NA,"End Of Day (from Real-Time)",26.13,26.29,25.92,26.23,828503
"29","UNM.N",20110211,NA,"End Of Day (from Real-Time)",26.12,26.6,26.02,26.56,718510
"30","UNM.N",20110214,NA,"End Of Day (from Real-Time)",26.51,26.67,26.2,26.43,559948
"31","UNM.N",20110215,NA,"End Of Day (from Real-Time)",26.33,26.56,26.23,26.43,708264
"32","UNM.N",20110216,NA,"End Of Day (from Real-Time)",26.52,26.81,26.46,26.75,682696
"33","UNM.N",20110217,NA,"End Of Day (from Real-Time)",26.53,26.93,26.48,26.78,711459
"34","UNM.N",20110218,NA,"End Of Day (from Real-Time)",26.82,27.03,26.68,26.87,998691
"35","UNM.N",20110222,NA,"End Of Day (from Real-Time)",26.49,26.91,26.13,26.29,1185165
"36","UNM.N",20110223,NA,"End Of Day (from Real-Time)",26.3,26.48,25.99,26.1,1376472
"37","UNM.N",20110224,NA,"End Of Day (from Real-Time)",26.06,26.44,25.83,26.23,1361919
"38","UNM.N",20110225,NA,"End Of Day (from Real-Time)",26.31,26.6,26.3,26.6,812831
"39","UNM.N",20110228,NA,"End Of Day (from Real-Time)",26.65,26.79,26.26,26.53,2012303
"40","UNM.N",20110301,NA,"End Of Day (from Real-Time)",26.58,26.63,25.97,26.14,1450998
"41","UNM.N",20110302,NA,"End Of Day (from Real-Time)",26.16,26.18,25.5,25.56,1806118
"42","UNM.N",20110303,NA,"End Of Day (from Real-Time)",25.91,26.27,25.91,26.15,680597
"43","UNM.N",20110304,NA,"End Of Day (from Real-Time)",26.06,26.2,25.7,26.02,1113886
"44","UNM.N",20110307,NA,"End Of Day (from Real-Time)",26.1,26.39,25.72,25.81,1014275
"45","UNM.N",20110308,NA,"End Of Day (from Real-Time)",25.82,26.66,25.68,26.44,2091675
"46","UNM.N",20110309,NA,"End Of Day (from Real-Time)",26.42,26.81,26.41,26.49,1284927
"47","UNM.N",20110310,NA,"End Of Day (from Real-Time)",26.19,26.44,25.99,26.05,1273543
"48","UNM.N",20110311,NA,"End Of Day (from Real-Time)",25.92,26.39,25.84,26.32,679473
"49","UNM.N",20110314,NA,"End Of Day (from Real-Time)",26.04,26.14,25.61,25.88,1212523
"50","UNM.N",20110315,NA,"End Of Day (from Real-Time)",24.97,25.84,24.77,25.7,1305838
"51","UNM.N",20110316,NA,"End Of Day (from Real-Time)",25.6,25.71,25.13,25.26,2195106
"52","UNM.N",20110317,NA,"End Of Day (from Real-Time)",25.77,25.77,25.2,25.44,886082
"53","UNM.N",20110318,NA,"End Of Day (from Real-Time)",25.8,26.15,25.62,25.67,1886892
"54","UNM.N",20110321,NA,"End Of Day (from Real-Time)",26.03,26.34,25.92,26.25,632408
"55","UNM.N",20110322,NA,"End Of Day (from Real-Time)",26.25,26.54,25.99,26.01,783213
"56","UNM.N",20110323,NA,"End Of Day (from Real-Time)",25.89,26,25.63,25.89,534509
"57","UNM.N",20110324,NA,"End Of Day (from Real-Time)",26.01,26.05,25.72,25.91,654092
"58","UNM.N",20110325,NA,"End Of Day (from Real-Time)",25.93,26.29,25.85,26.15,818866
"59","UNM.N",20110328,NA,"End Of Day (from Real-Time)",26.25,26.41,26.14,26.21,492364
"60","UNM.N",20110329,NA,"End Of Day (from Real-Time)",26.16,26.32,25.99,26.29,641348
"61","UNM.N",20110330,NA,"End Of Day (from Real-Time)",26.41,26.65,26.38,26.61,535107
"62","UNM.N",20110331,NA,"End Of Day (from Real-Time)",26.42,26.53,26.22,26.25,1454094
"63","UNM.N",20110401,NA,"End Of Day (from Real-Time)",26.51,26.86,26.39,26.58,937126
"64","UNM.N",20110404,NA,"End Of Day (from Real-Time)",26.61,26.84,26.51,26.52,656128
"65","UNM.N",20110405,NA,"End Of Day (from Real-Time)",26.46,26.54,26.38,26.43,669191
"66","UNM.N",20110406,NA,"End Of Day (from Real-Time)",26.54,26.77,26.53,26.7,832559
"67","UNM.N",20110407,NA,"End Of Day (from Real-Time)",26.62,27.16,26.5,26.69,802318
"68","UNM.N",20110408,NA,"End Of Day (from Real-Time)",26.74,26.89,26.17,26.31,486906
"69","UNM.N",20110411,NA,"End Of Day (from Real-Time)",26.29,26.53,26.26,26.4,337760
"70","UNM.N",20110412,NA,"End Of Day (from Real-Time)",26.19,26.43,26.15,26.28,494804
"71","UNM.N",20110413,NA,"End Of Day (from Real-Time)",26.4,26.44,25.98,25.98,807576
"72","UNM.N",20110414,NA,"End Of Day (from Real-Time)",25.75,25.89,25.53,25.8,644595
"73","UNM.N",20110415,NA,"End Of Day (from Real-Time)",25.81,25.81,25.29,25.69,1244998
"74","UNM.N",20110418,NA,"End Of Day (from Real-Time)",25.36,25.47,25.17,25.35,1045842
"75","UNM.N",20110419,NA,"End Of Day (from Real-Time)",25.43,25.53,25.28,25.52,848526
"76","UNM.N",20110420,NA,"End Of Day (from Real-Time)",25.75,25.98,25.61,25.63,660676
"77","UNM.N",20110421,NA,"End Of Day (from Real-Time)",25.75,25.92,25.61,25.8,527536
"78","UNM.N",20110425,NA,"End Of Day (from Real-Time)",25.82,25.84,25.56,25.6,474870
"79","UNM.N",20110426,NA,"End Of Day (from Real-Time)",25.76,26.03,25.72,25.89,565464
"80","UNM.N",20110427,NA,"End Of Day (from Real-Time)",25.91,26.17,25.65,26.09,554242
"81","UNM.N",20110428,NA,"End Of Day (from Real-Time)",26.1,26.46,26.08,26.42,719313
"82","UNM.N",20110429,NA,"End Of Day (from Real-Time)",26.41,26.52,26.24,26.48,484385
"83","UNM.N",20110502,NA,"End Of Day (from Real-Time)",26.65,26.7,26.29,26.38,479746
"84","UNM.N",20110503,NA,"End Of Day (from Real-Time)",26.29,26.52,25.88,26.15,910742
"85","UNM.N",20110504,NA,"End Of Day (from Real-Time)",26.6,26.62,25.92,26.53,1077290
"86","UNM.N",20110505,NA,"End Of Day (from Real-Time)",26.32,26.32,25.8,26.01,1216006
"87","UNM.N",20110506,NA,"End Of Day (from Real-Time)",26.3,26.47,25.93,26.23,948007
"88","UNM.N",20110509,NA,"End Of Day (from Real-Time)",26.2,26.41,26.07,26.36,599178
"89","UNM.N",20110510,NA,"End Of Day (from Real-Time)",26.46,26.66,26.36,26.64,634328
"90","UNM.N",20110511,NA,"End Of Day (from Real-Time)",26.6,26.73,26.26,26.44,763510
"91","UNM.N",20110512,NA,"End Of Day (from Real-Time)",26.35,26.7,26.18,26.68,870001
"92","UNM.N",20110513,NA,"End Of Day (from Real-Time)",26.63,26.71,26.07,26.22,821601
"93","UNM.N",20110516,NA,"End Of Day (from Real-Time)",26.09,26.5,26,26.33,598915
"94","UNM.N",20110517,NA,"End Of Day (from Real-Time)",26.2,26.28,26.03,26.23,745243
"95","UNM.N",20110518,NA,"End Of Day (from Real-Time)",26.17,26.38,26.07,26.36,547613
"96","UNM.N",20110519,NA,"End Of Day (from Real-Time)",26.51,26.95,26.4,26.9,857379
"97","UNM.N",20110520,NA,"End Of Day (from Real-Time)",26.85,26.95,26.67,26.72,1073074
"98","UNM.N",20110523,NA,"End Of Day (from Real-Time)",26.36,26.46,26.16,26.18,818797
"99","UNM.N",20110524,NA,"End Of Day (from Real-Time)",26.3,26.34,25.84,25.85,890081
"100","UNM.N",20110525,NA,"End Of Day (from Real-Time)",25.68,26.05,25.6,25.9,777518
"101","UNM.N",20110526,NA,"End Of Day (from Real-Time)",25.83,26.2,25.68,26.08,676711
"102","UNM.N",20110527,NA,"End Of Day (from Real-Time)",26.21,26.27,26.04,26.1,495439
"103","UNM.N",20110531,NA,"End Of Day (from Real-Time)",26.37,26.42,26.08,26.31,1147995
"104","UNM.N",20110601,NA,"End Of Day (from Real-Time)",26.18,26.18,25.41,25.44,1086214
"105","UNM.N",20110602,NA,"End Of Day (from Real-Time)",25.51,25.74,25.37,25.56,898081
"106","UNM.N",20110603,NA,"End Of Day (from Real-Time)",25.2,25.64,25.16,25.27,759633
"107","UNM.N",20110606,NA,"End Of Day (from Real-Time)",25.17,25.4,25,25.03,953303
"108","UNM.N",20110607,NA,"End Of Day (from Real-Time)",25.18,25.34,25,25.02,1002512
"109","UNM.N",20110608,NA,"End Of Day (from Real-Time)",24.93,25.02,24.79,24.88,865464
"110","UNM.N",20110609,NA,"End Of Day (from Real-Time)",24.94,25.2,24.84,25.13,1010106
"111","UNM.N",20110610,NA,"End Of Day (from Real-Time)",24.95,25.07,24.68,24.8,1176061
"112","UNM.N",20110613,NA,"End Of Day (from Real-Time)",24.85,25.02,24.71,24.93,974942
"113","UNM.N",20110614,NA,"End Of Day (from Real-Time)",25.22,25.62,25.12,25.42,1010862
"114","UNM.N",20110615,NA,"End Of Day (from Real-Time)",25.16,25.21,24.47,24.47,1285455
"115","UNM.N",20110616,NA,"End Of Day (from Real-Time)",24.52,24.68,24.36,24.61,1156146
"116","UNM.N",20110617,NA,"End Of Day (from Real-Time)",24.87,25.2,24.84,25.04,1296150
"117","UNM.N",20110620,NA,"End Of Day (from Real-Time)",24.95,25.21,24.79,25.14,657246
"118","UNM.N",20110621,NA,"End Of Day (from Real-Time)",25.33,25.66,25.31,25.42,896875
"119","UNM.N",20110622,NA,"End Of Day (from Real-Time)",25.38,25.44,24.96,24.96,1097877
"120","UNM.N",20110623,NA,"End Of Day (from Real-Time)",24.62,24.8,24.33,24.77,1777747
"121","UNM.N",20110624,NA,"End Of Day (from Real-Time)",24.78,24.82,24.29,24.52,1841532
"122","UNM.N",20110627,NA,"End Of Day (from Real-Time)",24.5,24.73,24.44,24.67,1008893
"123","UNM.N",20110628,NA,"End Of Day (from Real-Time)",24.76,24.96,24.7,24.96,737607
"124","UNM.N",20110629,NA,"End Of Day (from Real-Time)",25.11,25.34,24.97,25.23,855168
"125","UNM.N",20110630,NA,"End Of Day (from Real-Time)",25.33,25.69,25.16,25.48,800708
"126","UNM.N",20110701,NA,"End Of Day (from Real-Time)",25.55,25.97,25.42,25.94,816042
"127","UNM.N",20110705,NA,"End Of Day (from Real-Time)",25.84,25.9,25.53,25.8,824971
"128","UNM.N",20110706,NA,"End Of Day (from Real-Time)",25.78,26.05,25.68,26.03,761693
"129","UNM.N",20110707,NA,"End Of Day (from Real-Time)",26.27,26.4,26.19,26.36,522328
"130","UNM.N",20110708,NA,"End Of Day (from Real-Time)",26,26.09,25.75,26.05,867754
"131","UNM.N",20110711,NA,"End Of Day (from Real-Time)",25.63,25.74,25.42,25.5,1050598
"132","UNM.N",20110712,NA,"End Of Day (from Real-Time)",25.37,25.72,25.36,25.51,1018898
"133","UNM.N",20110713,NA,"End Of Day (from Real-Time)",25.65,26.03,25.48,25.77,1288088
"134","UNM.N",20110714,NA,"End Of Day (from Real-Time)",25.83,25.98,25.4,25.49,977470
