"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","UNP.N",20110103,NA,"End Of Day (from Real-Time)",93.68,94.55,93.37,93.69,806620
"2","UNP.N",20110104,NA,"End Of Day (from Real-Time)",94.01,94.19,92,93.08,575103
"3","UNP.N",20110105,NA,"End Of Day (from Real-Time)",92.54,93.33,92.38,92.96,630787
"4","UNP.N",20110106,NA,"End Of Day (from Real-Time)",93.1,93.33,92,92.55,599723
"5","UNP.N",20110107,NA,"End Of Day (from Real-Time)",93.08,95.36,93,95.18,940572
"6","UNP.N",20110110,NA,"End Of Day (from Real-Time)",95.68,98.02,95.31,97.36,1063026
"7","UNP.N",20110111,NA,"End Of Day (from Real-Time)",98.15,98.34,97,97.47,842821
"8","UNP.N",20110112,NA,"End Of Day (from Real-Time)",98.22,98.55,97.61,98.08,485547
"9","UNP.N",20110113,NA,"End Of Day (from Real-Time)",98,99.49,97.75,99.02,575389
"10","UNP.N",20110114,NA,"End Of Day (from Real-Time)",98.95,99.27,98.21,98.66,708389
"11","UNP.N",20110118,NA,"End Of Day (from Real-Time)",98.85,99.21,97.65,98.16,790835
"12","UNP.N",20110119,NA,"End Of Day (from Real-Time)",98.24,98.49,96.82,97.3,725177
"13","UNP.N",20110120,NA,"End Of Day (from Real-Time)",94.85,95.18,93.12,95.05,1338223
"14","UNP.N",20110121,NA,"End Of Day (from Real-Time)",95.49,96.15,94.3,94.51,1791274
"15","UNP.N",20110124,NA,"End Of Day (from Real-Time)",94.22,94.55,93.88,94.2,1184015
"16","UNP.N",20110125,NA,"End Of Day (from Real-Time)",94.14,94.99,92.45,93.02,1773596
"17","UNP.N",20110126,NA,"End Of Day (from Real-Time)",93.91,94.77,93.24,94.12,1178500
"18","UNP.N",20110127,NA,"End Of Day (from Real-Time)",94.79,95.59,94.67,95.34,787106
"19","UNP.N",20110128,NA,"End Of Day (from Real-Time)",95.51,95.59,93.35,93.54,963353
"20","UNP.N",20110131,NA,"End Of Day (from Real-Time)",93.67,95.12,93.67,94.63,975440
"21","UNP.N",20110201,NA,"End Of Day (from Real-Time)",95.46,96,94.88,95.43,689633
"22","UNP.N",20110202,NA,"End Of Day (from Real-Time)",95.01,95.54,93.98,94.17,502780
"23","UNP.N",20110203,NA,"End Of Day (from Real-Time)",94.13,94.69,93.55,93.6,669252
"24","UNP.N",20110204,NA,"End Of Day (from Real-Time)",93.33,94.52,93.21,94.25,534540
"25","UNP.N",20110207,NA,"End Of Day (from Real-Time)",94.5,95.28,94.13,94.61,459204
"26","UNP.N",20110208,NA,"End Of Day (from Real-Time)",94.79,95.23,94.37,95.12,517206
"27","UNP.N",20110209,NA,"End Of Day (from Real-Time)",94.77,96.28,94.61,95.85,540395
"28","UNP.N",20110210,NA,"End Of Day (from Real-Time)",95.66,98.06,95.41,97.51,1107489
"29","UNP.N",20110211,NA,"End Of Day (from Real-Time)",97.26,99.43,97.04,99.02,628478
"30","UNP.N",20110214,NA,"End Of Day (from Real-Time)",99.14,99.25,97.97,98.53,545637
"31","UNP.N",20110215,NA,"End Of Day (from Real-Time)",98.27,98.45,97.77,97.99,432734
"32","UNP.N",20110216,NA,"End Of Day (from Real-Time)",98.4,98.4,97.11,97.66,640850
"33","UNP.N",20110217,NA,"End Of Day (from Real-Time)",97.5,97.96,96.33,97.82,693413
"34","UNP.N",20110218,NA,"End Of Day (from Real-Time)",97.72,97.72,96.65,97.14,1042249
"35","UNP.N",20110222,NA,"End Of Day (from Real-Time)",96.12,96.61,93.95,94.32,688982
"36","UNP.N",20110223,NA,"End Of Day (from Real-Time)",94.14,94.45,91.51,92.54,1066538
