"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","UPS.N",20110103,NA,"End Of Day (from Real-Time)",73.2,73.89,72.87,72.95,1281343
"2","UPS.N",20110104,NA,"End Of Day (from Real-Time)",72.92,73.08,72.35,72.79,1325722
"3","UPS.N",20110105,NA,"End Of Day (from Real-Time)",72.17,73.21,72.14,72.9,806270
"4","UPS.N",20110106,NA,"End Of Day (from Real-Time)",72.99,72.99,72.21,72.49,971897
"5","UPS.N",20110107,NA,"End Of Day (from Real-Time)",72.79,72.92,71.09,72.15,1779854
"6","UPS.N",20110110,NA,"End Of Day (from Real-Time)",71.7,72.53,71.47,72.14,832445
"7","UPS.N",20110111,NA,"End Of Day (from Real-Time)",72.25,72.33,71.28,71.75,907620
"8","UPS.N",20110112,NA,"End Of Day (from Real-Time)",72.22,72.4,71.76,71.95,753148
"9","UPS.N",20110113,NA,"End Of Day (from Real-Time)",71.85,72.45,71.56,72.25,601057
"10","UPS.N",20110114,NA,"End Of Day (from Real-Time)",72.18,72.87,72.05,72.48,758377
"11","UPS.N",20110118,NA,"End Of Day (from Real-Time)",72.8,73.2,72.65,73.02,1325901
"12","UPS.N",20110119,NA,"End Of Day (from Real-Time)",72.95,73.05,71.79,72.18,1063268
"13","UPS.N",20110120,NA,"End Of Day (from Real-Time)",72.24,72.84,72,72.66,1368696
"14","UPS.N",20110121,NA,"End Of Day (from Real-Time)",73.05,73.09,72.45,72.89,2013747
"15","UPS.N",20110124,NA,"End Of Day (from Real-Time)",72.77,73.25,72.45,73.21,989442
"16","UPS.N",20110125,NA,"End Of Day (from Real-Time)",73.18,73.4,72.46,72.83,1053042
"17","UPS.N",20110126,NA,"End Of Day (from Real-Time)",72.94,73.3,72.48,72.87,816924
"18","UPS.N",20110127,NA,"End Of Day (from Real-Time)",73.09,73.27,72.46,72.91,754208
"19","UPS.N",20110128,NA,"End Of Day (from Real-Time)",72.89,72.96,70.65,70.73,1665518
"20","UPS.N",20110131,NA,"End Of Day (from Real-Time)",70.81,71.66,70.35,71.62,1333865
"21","UPS.N",20110201,NA,"End Of Day (from Real-Time)",74,75.18,73.79,74.59,2387904
"22","UPS.N",20110202,NA,"End Of Day (from Real-Time)",74.83,74.83,73.91,74.04,1223681
"23","UPS.N",20110203,NA,"End Of Day (from Real-Time)",73.97,74.55,73.9,74.29,954949
"24","UPS.N",20110204,NA,"End Of Day (from Real-Time)",74.47,74.5,73.6,74.34,851847
"25","UPS.N",20110207,NA,"End Of Day (from Real-Time)",74.22,74.44,73.55,74.25,952701
"26","UPS.N",20110208,NA,"End Of Day (from Real-Time)",74.15,74.58,73.84,74.47,894587
"27","UPS.N",20110209,NA,"End Of Day (from Real-Time)",74.24,74.58,73.92,74.58,1054265
"28","UPS.N",20110210,NA,"End Of Day (from Real-Time)",73.58,74.97,73.58,74.77,1545162
"29","UPS.N",20110211,NA,"End Of Day (from Real-Time)",74.68,75.62,74.39,75.32,1200887
"30","UPS.N",20110214,NA,"End Of Day (from Real-Time)",75.16,75.31,74.59,74.8,907113
"31","UPS.N",20110215,NA,"End Of Day (from Real-Time)",74.83,75.14,74.2,74.8,1207487
"32","UPS.N",20110216,NA,"End Of Day (from Real-Time)",74.88,75.8,74.88,75.66,1702413
"33","UPS.N",20110217,NA,"End Of Day (from Real-Time)",75.28,76.39,75.17,76.33,1176786
"34","UPS.N",20110218,NA,"End Of Day (from Real-Time)",76.4,76.99,76.1,76.47,2179696
"35","UPS.N",20110222,NA,"End Of Day (from Real-Time)",75.57,75.87,74.31,74.61,1841428
"36","UPS.N",20110223,NA,"End Of Day (from Real-Time)",74.76,75.3,72.83,73.47,1898381
"37","UPS.N",20110224,NA,"End Of Day (from Real-Time)",73.17,74.17,73.02,73.68,1363817
"38","UPS.N",20110225,NA,"End Of Day (from Real-Time)",74.02,74.02,73.3,73.46,1287896
"39","UPS.N",20110228,NA,"End Of Day (from Real-Time)",73.78,74.38,73.46,73.8,1513119
"40","UPS.N",20110301,NA,"End Of Day (from Real-Time)",73.8,73.95,71.97,72.35,2161729
"41","UPS.N",20110302,NA,"End Of Day (from Real-Time)",72.13,72.9,71.27,72.27,1911194
"42","UPS.N",20110303,NA,"End Of Day (from Real-Time)",72.91,73.71,72.54,73.46,1165682
"43","UPS.N",20110304,NA,"End Of Day (from Real-Time)",73.54,73.65,71.63,72.44,1758755
"44","UPS.N",20110307,NA,"End Of Day (from Real-Time)",72.73,72.85,71.28,71.8,1106539
"45","UPS.N",20110308,NA,"End Of Day (from Real-Time)",72.2,73.28,71.88,72.82,1095652
"46","UPS.N",20110309,NA,"End Of Day (from Real-Time)",72.45,73.52,72.03,73.25,1256312
"47","UPS.N",20110310,NA,"End Of Day (from Real-Time)",72.5,73.77,72.25,73.11,1443197
"48","UPS.N",20110311,NA,"End Of Day (from Real-Time)",73.27,74.51,73.27,74.09,1478540
"49","UPS.N",20110314,NA,"End Of Day (from Real-Time)",73.24,73.61,72.3,73.19,1619183
"50","UPS.N",20110315,NA,"End Of Day (from Real-Time)",71.85,72.28,71.43,71.81,1484752
"51","UPS.N",20110316,NA,"End Of Day (from Real-Time)",71.62,71.78,70.22,70.38,2030384
"52","UPS.N",20110317,NA,"End Of Day (from Real-Time)",72.64,72.73,71.16,71.61,2243065
"53","UPS.N",20110318,NA,"End Of Day (from Real-Time)",72.5,72.6,71.28,71.6,2594209
"54","UPS.N",20110321,NA,"End Of Day (from Real-Time)",72.5,73.4,72.4,72.84,1079956
"55","UPS.N",20110322,NA,"End Of Day (from Real-Time)",72.79,72.92,71.85,72.05,1086656
"56","UPS.N",20110323,NA,"End Of Day (from Real-Time)",71.78,71.91,71.34,71.62,1207812
"57","UPS.N",20110324,NA,"End Of Day (from Real-Time)",71.81,72.13,71.6,72.1,1048931
"58","UPS.N",20110325,NA,"End Of Day (from Real-Time)",72.14,72.58,71.99,72.04,904748
"59","UPS.N",20110328,NA,"End Of Day (from Real-Time)",72.26,74.06,72.26,73.52,1497798
"60","UPS.N",20110329,NA,"End Of Day (from Real-Time)",73.33,73.9,73.1,73.85,731280
"61","UPS.N",20110330,NA,"End Of Day (from Real-Time)",74.23,74.89,73.95,74.5,1496737
"62","UPS.N",20110331,NA,"End Of Day (from Real-Time)",74.36,74.94,74.24,74.32,1211802
"63","UPS.N",20110401,NA,"End Of Day (from Real-Time)",74.95,74.98,74.29,74.48,1057569
"64","UPS.N",20110404,NA,"End Of Day (from Real-Time)",74.59,74.85,74.4,74.74,790589
"65","UPS.N",20110405,NA,"End Of Day (from Real-Time)",74.4,74.88,74.07,74.15,887237
"66","UPS.N",20110406,NA,"End Of Day (from Real-Time)",74.54,74.61,73.95,74.47,708637
"67","UPS.N",20110407,NA,"End Of Day (from Real-Time)",74.26,74.41,73.7,74,718365
"68","UPS.N",20110408,NA,"End Of Day (from Real-Time)",74.11,74.11,72.84,73.25,1130543
"69","UPS.N",20110411,NA,"End Of Day (from Real-Time)",73.18,73.3,72.55,73.21,942504
"70","UPS.N",20110412,NA,"End Of Day (from Real-Time)",72.89,73.84,72.89,73.23,894774
"71","UPS.N",20110413,NA,"End Of Day (from Real-Time)",73.46,73.52,72.32,72.61,1125284
"72","UPS.N",20110414,NA,"End Of Day (from Real-Time)",72.3,72.97,72.12,72.41,1080610
"73","UPS.N",20110415,NA,"End Of Day (from Real-Time)",72.66,72.96,72.35,72.71,1575007
"74","UPS.N",20110418,NA,"End Of Day (from Real-Time)",71.77,72.03,71.49,71.92,1129107
"75","UPS.N",20110419,NA,"End Of Day (from Real-Time)",71.89,72.15,71.7,71.98,754118
"76","UPS.N",20110420,NA,"End Of Day (from Real-Time)",73.21,73.42,72.39,72.71,1061265
"77","UPS.N",20110421,NA,"End Of Day (from Real-Time)",72.98,73.49,72.78,73.17,787801
"78","UPS.N",20110425,NA,"End Of Day (from Real-Time)",73.08,74.09,72.83,73.64,1155130
"79","UPS.N",20110426,NA,"End Of Day (from Real-Time)",74.95,74.95,74.05,74.3,1082138
"80","UPS.N",20110427,NA,"End Of Day (from Real-Time)",74.6,74.65,73.68,74.27,708172
"81","UPS.N",20110428,NA,"End Of Day (from Real-Time)",74.18,74.98,74.13,74.81,945381
"82","UPS.N",20110429,NA,"End Of Day (from Real-Time)",74.85,75.33,74.66,74.97,904868
"83","UPS.N",20110502,NA,"End Of Day (from Real-Time)",75.34,75.58,74.5,74.87,754794
"84","UPS.N",20110503,NA,"End Of Day (from Real-Time)",74.7,75.24,74.52,75.09,969121
"85","UPS.N",20110504,NA,"End Of Day (from Real-Time)",74.97,75.24,73.75,74.25,1499623
"86","UPS.N",20110505,NA,"End Of Day (from Real-Time)",73.94,74.92,73.59,73.96,1599285
"87","UPS.N",20110506,NA,"End Of Day (from Real-Time)",74.9,74.95,74,74.1,1070855
"88","UPS.N",20110509,NA,"End Of Day (from Real-Time)",74.01,74.06,73.59,73.7,919562
"89","UPS.N",20110510,NA,"End Of Day (from Real-Time)",73.9,74.7,73.9,74.37,757095
"90","UPS.N",20110511,NA,"End Of Day (from Real-Time)",74.44,74.95,74.22,74.65,1047739
"91","UPS.N",20110512,NA,"End Of Day (from Real-Time)",74.19,74.43,73.69,74.34,957132
