"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","VFC.N",20110103,NA,"End Of Day (from Real-Time)",86.63,86.77,85.8,86.36,260326
"2","VFC.N",20110104,NA,"End Of Day (from Real-Time)",86.55,86.79,84.7,85.06,370540
"3","VFC.N",20110105,NA,"End Of Day (from Real-Time)",85,85.59,84.38,85.14,211751
"4","VFC.N",20110106,NA,"End Of Day (from Real-Time)",85.1,85.26,83.06,83.6,362605
"5","VFC.N",20110107,NA,"End Of Day (from Real-Time)",83.02,83.37,81.42,82.11,466539
"6","VFC.N",20110110,NA,"End Of Day (from Real-Time)",81.88,83.24,81.81,82.7,248028
"7","VFC.N",20110111,NA,"End Of Day (from Real-Time)",83,83.01,82.07,82.76,265902
"8","VFC.N",20110112,NA,"End Of Day (from Real-Time)",83.37,83.46,82.74,83.03,124029
"9","VFC.N",20110113,NA,"End Of Day (from Real-Time)",83.1,83.15,82.02,82.35,230945
"10","VFC.N",20110114,NA,"End Of Day (from Real-Time)",82.27,83.95,82.04,83.95,300843
"11","VFC.N",20110118,NA,"End Of Day (from Real-Time)",84.12,84.12,82.27,82.78,268089
"12","VFC.N",20110119,NA,"End Of Day (from Real-Time)",82.93,83.06,81.79,83.06,342573
"13","VFC.N",20110120,NA,"End Of Day (from Real-Time)",82.98,83.92,82.64,83.6,270082
"14","VFC.N",20110121,NA,"End Of Day (from Real-Time)",83.6,83.6,81.92,82.06,343677
"15","VFC.N",20110124,NA,"End Of Day (from Real-Time)",81.87,82.93,81.8,82.54,224042
"16","VFC.N",20110125,NA,"End Of Day (from Real-Time)",82.19,82.27,80.4,81.34,416228
"17","VFC.N",20110126,NA,"End Of Day (from Real-Time)",81.9,83.1,81.15,82.68,426501
"18","VFC.N",20110127,NA,"End Of Day (from Real-Time)",82.91,82.96,81.99,82.64,212312
"19","VFC.N",20110128,NA,"End Of Day (from Real-Time)",82.54,82.76,81.23,81.45,309802
"20","VFC.N",20110131,NA,"End Of Day (from Real-Time)",81.58,82.83,81.06,82.72,201096
"21","VFC.N",20110201,NA,"End Of Day (from Real-Time)",83.21,84.23,82.78,84.12,205924
"22","VFC.N",20110202,NA,"End Of Day (from Real-Time)",83.89,84.22,83.26,83.82,236317
"23","VFC.N",20110203,NA,"End Of Day (from Real-Time)",84.02,84.99,83.89,84.43,213882
"24","VFC.N",20110204,NA,"End Of Day (from Real-Time)",84.7,87.69,84.12,86.93,390735
"25","VFC.N",20110207,NA,"End Of Day (from Real-Time)",86.89,87.14,86.37,86.49,212512
"26","VFC.N",20110208,NA,"End Of Day (from Real-Time)",86.88,87.6,86.45,87.41,192674
"27","VFC.N",20110209,NA,"End Of Day (from Real-Time)",87.5,89.75,87.49,88.12,362784
"28","VFC.N",20110210,NA,"End Of Day (from Real-Time)",87.81,88.24,86.96,87.54,240215
"29","VFC.N",20110211,NA,"End Of Day (from Real-Time)",87.39,87.39,86.46,87.13,256457
"30","VFC.N",20110214,NA,"End Of Day (from Real-Time)",86.86,87.04,86.07,86.92,170626
"31","VFC.N",20110215,NA,"End Of Day (from Real-Time)",86.47,86.94,85.83,86.78,196720
"32","VFC.N",20110216,NA,"End Of Day (from Real-Time)",87.03,87.41,85.61,86.63,220745
"33","VFC.N",20110217,NA,"End Of Day (from Real-Time)",86.19,88,85.6,87.61,215119
"34","VFC.N",20110218,NA,"End Of Day (from Real-Time)",87.8,90,87.77,89.8,498698
"35","VFC.N",20110222,NA,"End Of Day (from Real-Time)",95.07,100.24,94.92,96.52,1374695
"36","VFC.N",20110223,NA,"End Of Day (from Real-Time)",96.4,96.88,94.76,95.13,529782
"37","VFC.N",20110224,NA,"End Of Day (from Real-Time)",94.98,96.15,94.8,96,379245
"38","VFC.N",20110225,NA,"End Of Day (from Real-Time)",95.65,96.99,95.65,95.98,275906
"39","VFC.N",20110228,NA,"End Of Day (from Real-Time)",95,95.87,95,95.67,442570
"40","VFC.N",20110301,NA,"End Of Day (from Real-Time)",96.16,96.28,93.81,94.2,410576
"41","VFC.N",20110302,NA,"End Of Day (from Real-Time)",94.06,94.81,93.37,94.04,260452
"42","VFC.N",20110303,NA,"End Of Day (from Real-Time)",94.67,96,94.67,95.67,222529
"43","VFC.N",20110304,NA,"End Of Day (from Real-Time)",95.9,96.46,95.09,95.69,258892
"44","VFC.N",20110307,NA,"End Of Day (from Real-Time)",95.46,97.05,95.09,96.75,450737
"45","VFC.N",20110308,NA,"End Of Day (from Real-Time)",96.79,97.48,96.15,96.69,309531
"46","VFC.N",20110309,NA,"End Of Day (from Real-Time)",96,98.08,95.85,97.65,312053
"47","VFC.N",20110310,NA,"End Of Day (from Real-Time)",96.83,98.8,96.35,96.94,322819
"48","VFC.N",20110311,NA,"End Of Day (from Real-Time)",95.97,98.5,95.9,98.17,204841
"49","VFC.N",20110314,NA,"End Of Day (from Real-Time)",97.98,97.98,96.12,96.56,223129
"50","VFC.N",20110315,NA,"End Of Day (from Real-Time)",94.43,96.65,93.8,95.92,293046
"51","VFC.N",20110316,NA,"End Of Day (from Real-Time)",95.65,96.71,94.16,94.53,270290
"52","VFC.N",20110317,NA,"End Of Day (from Real-Time)",95,95.88,94.23,94.56,283609
"53","VFC.N",20110318,NA,"End Of Day (from Real-Time)",94.79,94.79,92.21,93,487445
"54","VFC.N",20110321,NA,"End Of Day (from Real-Time)",93.59,94.5,93.47,93.93,195338
"55","VFC.N",20110322,NA,"End Of Day (from Real-Time)",93.86,94.3,93.48,93.8,210390
"56","VFC.N",20110323,NA,"End Of Day (from Real-Time)",93.51,94.47,92.43,94.33,254772
"57","VFC.N",20110324,NA,"End Of Day (from Real-Time)",94.93,95.58,93.98,95.16,234734
"58","VFC.N",20110325,NA,"End Of Day (from Real-Time)",95.06,95.98,94.57,95.42,233319
"59","VFC.N",20110328,NA,"End Of Day (from Real-Time)",95.46,96.44,94.65,94.73,239893
"60","VFC.N",20110329,NA,"End Of Day (from Real-Time)",94.67,96.72,94.59,96.38,261373
"61","VFC.N",20110330,NA,"End Of Day (from Real-Time)",96.67,99.35,96.63,99.17,396700
"62","VFC.N",20110331,NA,"End Of Day (from Real-Time)",98.84,98.84,97.19,98.53,435405
"63","VFC.N",20110401,NA,"End Of Day (from Real-Time)",97.86,99.97,97.86,98.9,465137
"64","VFC.N",20110404,NA,"End Of Day (from Real-Time)",99.42,99.5,98.36,98.63,195048
"65","VFC.N",20110405,NA,"End Of Day (from Real-Time)",98.83,99.7,98.07,99.06,226075
"66","VFC.N",20110406,NA,"End Of Day (from Real-Time)",99.38,99.5,97.96,98.27,171201
"67","VFC.N",20110407,NA,"End Of Day (from Real-Time)",98.46,99,97.5,98.46,216211
"68","VFC.N",20110408,NA,"End Of Day (from Real-Time)",98.96,98.99,96.69,97.27,221044
"69","VFC.N",20110411,NA,"End Of Day (from Real-Time)",97.45,99.88,97.45,99.29,301157
"70","VFC.N",20110412,NA,"End Of Day (from Real-Time)",99,99.99,98.48,99.35,355410
"71","VFC.N",20110413,NA,"End Of Day (from Real-Time)",99.45,100.21,99.07,100.03,297129
"72","VFC.N",20110414,NA,"End Of Day (from Real-Time)",99.64,101.22,99.41,100.25,243130
"73","VFC.N",20110415,NA,"End Of Day (from Real-Time)",100.67,101.62,100.22,100.95,314008
"74","VFC.N",20110418,NA,"End Of Day (from Real-Time)",99.74,99.82,98.47,99.14,318831
"75","VFC.N",20110419,NA,"End Of Day (from Real-Time)",99.39,100.9,99.34,100.74,302093
"76","VFC.N",20110420,NA,"End Of Day (from Real-Time)",101.96,105.02,101.95,103.57,353984
"77","VFC.N",20110421,NA,"End Of Day (from Real-Time)",103.53,103.87,102.73,103.5,155170
"78","VFC.N",20110425,NA,"End Of Day (from Real-Time)",105,106.15,103.71,103.91,270844
"79","VFC.N",20110426,NA,"End Of Day (from Real-Time)",103.72,105.07,103.72,105.01,215890
"80","VFC.N",20110427,NA,"End Of Day (from Real-Time)",105.02,107.75,105.02,107.51,297622
"81","VFC.N",20110428,NA,"End Of Day (from Real-Time)",107.58,108.87,106.56,108.66,397188
"82","VFC.N",20110429,NA,"End Of Day (from Real-Time)",102.63,104.24,100.21,100.56,705373
"83","VFC.N",20110502,NA,"End Of Day (from Real-Time)",101.96,102,99.73,100.02,297106
"84","VFC.N",20110503,NA,"End Of Day (from Real-Time)",99.32,100.95,98.28,98.95,358380
"85","VFC.N",20110504,NA,"End Of Day (from Real-Time)",98.83,99.55,97.78,98.92,269349
"86","VFC.N",20110505,NA,"End Of Day (from Real-Time)",98.28,100.98,98.14,100.54,435032
"87","VFC.N",20110506,NA,"End Of Day (from Real-Time)",101.15,101.21,99.57,99.73,393335
"88","VFC.N",20110509,NA,"End Of Day (from Real-Time)",100.01,100.64,99.69,99.9,192648
"89","VFC.N",20110510,NA,"End Of Day (from Real-Time)",99.9,100.84,99.79,100.5,192189
"90","VFC.N",20110511,NA,"End Of Day (from Real-Time)",100.77,100.77,99.31,99.89,222629
"91","VFC.N",20110512,NA,"End Of Day (from Real-Time)",100.08,102.5,99.42,102.35,288521
"92","VFC.N",20110513,NA,"End Of Day (from Real-Time)",102.28,102.36,100.75,101.02,155036
"93","VFC.N",20110516,NA,"End Of Day (from Real-Time)",100.94,101.46,100.55,100.66,153093
"94","VFC.N",20110517,NA,"End Of Day (from Real-Time)",100.46,101.1,99.39,100.23,165201
"95","VFC.N",20110518,NA,"End Of Day (from Real-Time)",100.64,101.64,100.42,101.6,118948
"96","VFC.N",20110519,NA,"End Of Day (from Real-Time)",101.62,102.3,101.09,102.19,128210
"97","VFC.N",20110520,NA,"End Of Day (from Real-Time)",101.5,101.5,96.79,97.44,524195
"98","VFC.N",20110523,NA,"End Of Day (from Real-Time)",96.52,98.04,96.5,97.51,259186
"99","VFC.N",20110524,NA,"End Of Day (from Real-Time)",97.7,98.35,97.23,97.56,133528
"100","VFC.N",20110525,NA,"End Of Day (from Real-Time)",95.31,96,94.31,95.54,289820
"101","VFC.N",20110526,NA,"End Of Day (from Real-Time)",95.99,98.29,95.66,97.99,252872
"102","VFC.N",20110527,NA,"End Of Day (from Real-Time)",98.23,99.08,98.17,98.82,164133
"103","VFC.N",20110531,NA,"End Of Day (from Real-Time)",99.71,99.95,99.01,99.67,362105
"104","VFC.N",20110601,NA,"End Of Day (from Real-Time)",99.74,100.46,97.08,97.21,303137
"105","VFC.N",20110602,NA,"End Of Day (from Real-Time)",97.04,97.62,95.58,95.87,236021
"106","VFC.N",20110603,NA,"End Of Day (from Real-Time)",94.95,96.7,94.81,95.01,224833
"107","VFC.N",20110606,NA,"End Of Day (from Real-Time)",94.75,95.22,93.82,93.9,227434
"108","VFC.N",20110607,NA,"End Of Day (from Real-Time)",94.15,95.13,93.8,93.88,228853
"109","VFC.N",20110608,NA,"End Of Day (from Real-Time)",93,93.06,91.64,91.77,295790
