"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","VLO.N",20110103,NA,"End Of Day (from Real-Time)",23.51,23.78,23.38,23.75,1399780
"2","VLO.N",20110104,NA,"End Of Day (from Real-Time)",23.85,23.85,23.01,23.19,2275411
"3","VLO.N",20110105,NA,"End Of Day (from Real-Time)",23.1,23.81,23.07,23.76,2260061
"4","VLO.N",20110106,NA,"End Of Day (from Real-Time)",23.93,23.99,23.46,23.78,1611096
"5","VLO.N",20110107,NA,"End Of Day (from Real-Time)",23.8,23.94,23.5,23.83,1705694
"6","VLO.N",20110110,NA,"End Of Day (from Real-Time)",23.6,23.9,23.43,23.73,2003487
"7","VLO.N",20110111,NA,"End Of Day (from Real-Time)",23.85,24.33,23.8,24.16,1909800
"8","VLO.N",20110112,NA,"End Of Day (from Real-Time)",24.5,24.81,24.31,24.56,3154403
"9","VLO.N",20110113,NA,"End Of Day (from Real-Time)",24.7,25.17,24.58,25.04,2177699
"10","VLO.N",20110114,NA,"End Of Day (from Real-Time)",24.89,25.01,24.45,24.99,2492100
"11","VLO.N",20110118,NA,"End Of Day (from Real-Time)",25.09,25.57,24.89,25.57,2129647
"12","VLO.N",20110119,NA,"End Of Day (from Real-Time)",25.49,25.57,24.69,24.78,2165396
"13","VLO.N",20110120,NA,"End Of Day (from Real-Time)",24.54,24.55,23.53,24.08,2956907
"14","VLO.N",20110121,NA,"End Of Day (from Real-Time)",24.1,24.34,23.87,24.13,3080855
"15","VLO.N",20110124,NA,"End Of Day (from Real-Time)",24.1,24.44,23.94,24.41,1557099
"16","VLO.N",20110125,NA,"End Of Day (from Real-Time)",24.38,24.41,23.96,24.32,1900531
"17","VLO.N",20110126,NA,"End Of Day (from Real-Time)",24.61,25.39,24.53,25.3,2354216
"18","VLO.N",20110127,NA,"End Of Day (from Real-Time)",25.5,25.79,25.05,25.37,1808151
"19","VLO.N",20110128,NA,"End Of Day (from Real-Time)",25.35,25.49,25.01,25.15,2597032
"20","VLO.N",20110131,NA,"End Of Day (from Real-Time)",25.45,25.51,25.18,25.36,2662108
"21","VLO.N",20110201,NA,"End Of Day (from Real-Time)",25.76,26.1,25.58,26.06,3073664
"22","VLO.N",20110202,NA,"End Of Day (from Real-Time)",26.06,26.98,25.98,26.43,2236522
"23","VLO.N",20110203,NA,"End Of Day (from Real-Time)",26.3,26.35,25.54,26.11,2188845
"24","VLO.N",20110204,NA,"End Of Day (from Real-Time)",26.19,26.64,26.05,26.53,1790071
"25","VLO.N",20110207,NA,"End Of Day (from Real-Time)",27.13,28.02,27.11,27.3,2465707
"26","VLO.N",20110208,NA,"End Of Day (from Real-Time)",27.36,28.06,27.01,28,2367984
"27","VLO.N",20110209,NA,"End Of Day (from Real-Time)",27.99,28,27.11,27.35,2468424
"28","VLO.N",20110210,NA,"End Of Day (from Real-Time)",26.99,28.13,26.5,28.08,2808357
"29","VLO.N",20110211,NA,"End Of Day (from Real-Time)",28.06,28.48,27.57,27.97,2702378
"30","VLO.N",20110214,NA,"End Of Day (from Real-Time)",27.92,29.51,27.9,29.08,2874909
"31","VLO.N",20110215,NA,"End Of Day (from Real-Time)",29.11,29.24,28.21,28.45,2331135
"32","VLO.N",20110216,NA,"End Of Day (from Real-Time)",29.29,29.61,29.05,29.18,3007976
"33","VLO.N",20110217,NA,"End Of Day (from Real-Time)",29.5,30.42,29.24,30.29,3019802
"34","VLO.N",20110218,NA,"End Of Day (from Real-Time)",30,30.23,29.32,29.42,3812964
"35","VLO.N",20110222,NA,"End Of Day (from Real-Time)",29.1,29.5,28.15,28.17,3618791
"36","VLO.N",20110223,NA,"End Of Day (from Real-Time)",28.16,28.54,26.7,27.75,4473266
"37","VLO.N",20110224,NA,"End Of Day (from Real-Time)",27.2,27.58,26.52,26.8,3193273
"38","VLO.N",20110225,NA,"End Of Day (from Real-Time)",27.22,28.58,27.15,28.56,3003040
"39","VLO.N",20110228,NA,"End Of Day (from Real-Time)",28.71,28.87,27.85,28.18,2966185
"40","VLO.N",20110301,NA,"End Of Day (from Real-Time)",28.19,28.34,26.87,26.98,2705596
"41","VLO.N",20110302,NA,"End Of Day (from Real-Time)",26.98,27.13,26.3,26.9,2353305
"42","VLO.N",20110303,NA,"End Of Day (from Real-Time)",27.37,29.03,27.29,28.98,3459589
"43","VLO.N",20110304,NA,"End Of Day (from Real-Time)",29,29.05,28.44,28.67,2616038
"44","VLO.N",20110307,NA,"End Of Day (from Real-Time)",28.77,28.8,27.41,27.83,2144132
"45","VLO.N",20110308,NA,"End Of Day (from Real-Time)",27.86,27.87,26.87,27.19,2163503
"46","VLO.N",20110309,NA,"End Of Day (from Real-Time)",27.07,27.82,26.89,27.71,2564685
"47","VLO.N",20110310,NA,"End Of Day (from Real-Time)",27.21,27.25,25.6,26.32,3130812
"48","VLO.N",20110311,NA,"End Of Day (from Real-Time)",27.1,28.12,26.55,27.98,3151244
"49","VLO.N",20110314,NA,"End Of Day (from Real-Time)",28.37,29.35,27.99,28.89,3724006
"50","VLO.N",20110315,NA,"End Of Day (from Real-Time)",27.38,28.3,27.33,27.91,3039004
"51","VLO.N",20110316,NA,"End Of Day (from Real-Time)",27.95,28.29,27.11,27.44,3518086
"52","VLO.N",20110317,NA,"End Of Day (from Real-Time)",27.9,28.2,27.71,27.91,2065673
"53","VLO.N",20110318,NA,"End Of Day (from Real-Time)",28.35,28.36,27.31,27.34,4755513
"54","VLO.N",20110321,NA,"End Of Day (from Real-Time)",27.88,28.31,27.6,28.3,1389507
"55","VLO.N",20110322,NA,"End Of Day (from Real-Time)",28.33,28.4,27.65,28.1,1353222
"56","VLO.N",20110323,NA,"End Of Day (from Real-Time)",28.01,29.12,27.91,28.83,2284625
"57","VLO.N",20110324,NA,"End Of Day (from Real-Time)",29.1,29.15,28.2,28.79,2007453
"58","VLO.N",20110325,NA,"End Of Day (from Real-Time)",29.06,30,29.03,29.93,1881720
"59","VLO.N",20110328,NA,"End Of Day (from Real-Time)",30,30.06,29.47,29.57,1499964
"60","VLO.N",20110329,NA,"End Of Day (from Real-Time)",29.79,30.47,29.3,30.44,1720193
"61","VLO.N",20110330,NA,"End Of Day (from Real-Time)",30.88,30.96,30.13,30.73,2950457
"62","VLO.N",20110331,NA,"End Of Day (from Real-Time)",30.16,30.68,29.8,29.82,2342457
"63","VLO.N",20110401,NA,"End Of Day (from Real-Time)",30.07,30.27,29.79,30.02,1622712
"64","VLO.N",20110404,NA,"End Of Day (from Real-Time)",30.21,30.28,29.93,30.07,1830138
"65","VLO.N",20110405,NA,"End Of Day (from Real-Time)",30.27,30.7,30.08,30.5,1955771
"66","VLO.N",20110406,NA,"End Of Day (from Real-Time)",30.6,31.12,29.74,29.82,2192050
"67","VLO.N",20110407,NA,"End Of Day (from Real-Time)",29.63,29.67,28.67,28.99,2156178
"68","VLO.N",20110408,NA,"End Of Day (from Real-Time)",29.03,29.2,27.71,28.19,2971427
