"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","VRSN.O",20110103,NA,"End Of Day (from Real-Time)",32.99,33.47,32.93,33.41,3295664
"2","VRSN.O",20110104,NA,"End Of Day (from Real-Time)",33.6,33.64,32.965,33.2,2285766
"3","VRSN.O",20110105,NA,"End Of Day (from Real-Time)",33.09,33.53,32.97,33.49,2150354
"4","VRSN.O",20110106,NA,"End Of Day (from Real-Time)",33.44,33.93,33.33,33.76,1643727
"5","VRSN.O",20110107,NA,"End Of Day (from Real-Time)",33.85,33.88,33.04,33.34,1690925
"6","VRSN.O",20110110,NA,"End Of Day (from Real-Time)",32.8601,33.11,32.31,32.91,3764233
"7","VRSN.O",20110111,NA,"End Of Day (from Real-Time)",33.2,33.2,32.66,32.77,3361757
"8","VRSN.O",20110112,NA,"End Of Day (from Real-Time)",32.9,32.92,32.42,32.54,2338087
"9","VRSN.O",20110113,NA,"End Of Day (from Real-Time)",32.44,32.69,32.44,32.57,1416601
"10","VRSN.O",20110114,NA,"End Of Day (from Real-Time)",32.61,33.21,32.48,33.15,2320167
"11","VRSN.O",20110118,NA,"End Of Day (from Real-Time)",33.14,33.53,33.08,33.27,1865008
"12","VRSN.O",20110119,NA,"End Of Day (from Real-Time)",33.2,33.29,32.56,32.61,2085133
"13","VRSN.O",20110120,NA,"End Of Day (from Real-Time)",32.38,32.83,32.33,32.69,2525876
"14","VRSN.O",20110121,NA,"End Of Day (from Real-Time)",32.73,33.02,32.17,32.21,1644924
"15","VRSN.O",20110124,NA,"End Of Day (from Real-Time)",32.15,32.73,31.97,32.71,1629577
"16","VRSN.O",20110125,NA,"End Of Day (from Real-Time)",32.41,32.55,32.05,32.51,2293895
"17","VRSN.O",20110126,NA,"End Of Day (from Real-Time)",32.52,33.14,32.49,32.96,2260537
"18","VRSN.O",20110127,NA,"End Of Day (from Real-Time)",32.84,33.21,32.56,32.9,1857256
"19","VRSN.O",20110128,NA,"End Of Day (from Real-Time)",32.65,34.26,32.62,33.75,5768121
"20","VRSN.O",20110131,NA,"End Of Day (from Real-Time)",33.74,33.89,33.3,33.65,2272044
"21","VRSN.O",20110201,NA,"End Of Day (from Real-Time)",33.67,34.37,33.67,34.15,5541590
"22","VRSN.O",20110202,NA,"End Of Day (from Real-Time)",34.02,34.36,33.99,34.03,2364377
"23","VRSN.O",20110203,NA,"End Of Day (from Real-Time)",34.03,34.49,33.93,34.45,2215169
"24","VRSN.O",20110204,NA,"End Of Day (from Real-Time)",34.5,35.63,34,35.28,3547500
"25","VRSN.O",20110207,NA,"End Of Day (from Real-Time)",35.25,35.665,35.03,35.53,2963490
"26","VRSN.O",20110208,NA,"End Of Day (from Real-Time)",35.53,35.97,35.31,35.5,3075310
"27","VRSN.O",20110209,NA,"End Of Day (from Real-Time)",35.42,36.08,35.42,36.06,2363306
"28","VRSN.O",20110210,NA,"End Of Day (from Real-Time)",35.85,36.28,35.72,36.21,2190700
"29","VRSN.O",20110211,NA,"End Of Day (from Real-Time)",36.19,36.73,35.61,36.71,1910364
"30","VRSN.O",20110214,NA,"End Of Day (from Real-Time)",36.85,37.57,36.44,36.58,5566344
"31","VRSN.O",20110215,NA,"End Of Day (from Real-Time)",36.46,36.92,36.46,36.6,1165505
"32","VRSN.O",20110216,NA,"End Of Day (from Real-Time)",36.88,37.09,36.6,36.98,1230228
"33","VRSN.O",20110217,NA,"End Of Day (from Real-Time)",36.96,37.08,36.71,36.89,829422
"34","VRSN.O",20110218,NA,"End Of Day (from Real-Time)",36.91,36.98,36.65,36.735,1134286
"35","VRSN.O",20110222,NA,"End Of Day (from Real-Time)",36.41,36.46,35.05,35.1,2875004
"36","VRSN.O",20110223,NA,"End Of Day (from Real-Time)",35.09,35.31,34.2005,35.12,4299628
"37","VRSN.O",20110224,NA,"End Of Day (from Real-Time)",35.1,35.78,35,35.63,2771927
"38","VRSN.O",20110225,NA,"End Of Day (from Real-Time)",35.85,36.16,35.75,35.98,1502090
"39","VRSN.O",20110228,NA,"End Of Day (from Real-Time)",35.98,36.02,35.05,35.29,2165810
"40","VRSN.O",20110301,NA,"End Of Day (from Real-Time)",35.48,35.73,34.92,35.05,2187082
"41","VRSN.O",20110302,NA,"End Of Day (from Real-Time)",34.99,35.86,34.94,35.64,2418211
"42","VRSN.O",20110303,NA,"End Of Day (from Real-Time)",35.9,36.25,35.87,35.95,1545643
"43","VRSN.O",20110304,NA,"End Of Day (from Real-Time)",35.87,36.23,35.83,36.1275,1575461
"44","VRSN.O",20110307,NA,"End Of Day (from Real-Time)",36.27,36.27,35.16,35.53,3021247
"45","VRSN.O",20110308,NA,"End Of Day (from Real-Time)",35.65,36.43,35.48,36.28,1863671
"46","VRSN.O",20110309,NA,"End Of Day (from Real-Time)",35.98,36.33,35.83,36.12,1297701
"47","VRSN.O",20110310,NA,"End Of Day (from Real-Time)",35.73,35.88,35.36,35.66,2106506
"48","VRSN.O",20110311,NA,"End Of Day (from Real-Time)",35.53,36.12,35.47,36,1494252
"49","VRSN.O",20110314,NA,"End Of Day (from Real-Time)",35.71,36.0501,35.62,35.63,3698969
"50","VRSN.O",20110315,NA,"End Of Day (from Real-Time)",34.77,35.92,34.75,35.6,3041651
"51","VRSN.O",20110316,NA,"End Of Day (from Real-Time)",35.41,35.74,34.62,34.91,2097447
"52","VRSN.O",20110317,NA,"End Of Day (from Real-Time)",35.47,35.62,34.99,35.07,1515270
"53","VRSN.O",20110318,NA,"End Of Day (from Real-Time)",35.35,35.57,34.84,35,2407947
"54","VRSN.O",20110321,NA,"End Of Day (from Real-Time)",35.34,35.81,35.14,35.4975,1512785
"55","VRSN.O",20110322,NA,"End Of Day (from Real-Time)",35.46,35.66,35.19,35.24,1102062
"56","VRSN.O",20110323,NA,"End Of Day (from Real-Time)",35.08,35.47,34.88,35.28,1736662
"57","VRSN.O",20110324,NA,"End Of Day (from Real-Time)",35.56,35.94,35.33,35.84,1080867
"58","VRSN.O",20110325,NA,"End Of Day (from Real-Time)",36.04,36.43,35.82,36.2,1440699
"59","VRSN.O",20110328,NA,"End Of Day (from Real-Time)",36.22,36.47,36.06,36.07,1183045
"60","VRSN.O",20110329,NA,"End Of Day (from Real-Time)",35.99,36.6,35.84,36.44,1181827
"61","VRSN.O",20110330,NA,"End Of Day (from Real-Time)",36.69,36.84,36.43,36.45,2155222
"62","VRSN.O",20110331,NA,"End Of Day (from Real-Time)",36.48,36.545,36.19,36.21,1592211
"63","VRSN.O",20110401,NA,"End Of Day (from Real-Time)",36.32,36.74,36.13,36.48,2704615
"64","VRSN.O",20110404,NA,"End Of Day (from Real-Time)",36.47,36.85,36.4602,36.8,1774855
"65","VRSN.O",20110405,NA,"End Of Day (from Real-Time)",36.73,37.11,36.56,36.98,2483995
"66","VRSN.O",20110406,NA,"End Of Day (from Real-Time)",37.16,37.18,36.42,36.97,1851352
"67","VRSN.O",20110407,NA,"End Of Day (from Real-Time)",36.85,37.23,36.5,36.92,1567418
"68","VRSN.O",20110408,NA,"End Of Day (from Real-Time)",36.98,37.09,36.01,36.43,2388763
"69","VRSN.O",20110411,NA,"End Of Day (from Real-Time)",36.45,36.6,35.91,36.09,1812855
"70","VRSN.O",20110412,NA,"End Of Day (from Real-Time)",36.18,37.08,36.17,36.85,2690342
"71","VRSN.O",20110413,NA,"End Of Day (from Real-Time)",37.2,37.5,36.945,37.38,2463390
"72","VRSN.O",20110414,NA,"End Of Day (from Real-Time)",37.1,37.26,36.74,36.92,1465905
"73","VRSN.O",20110415,NA,"End Of Day (from Real-Time)",37.01,37.01,36.41,36.74,2077747
"74","VRSN.O",20110418,NA,"End Of Day (from Real-Time)",36.33,36.61,35.93,36.58,1433158
"75","VRSN.O",20110419,NA,"End Of Day (from Real-Time)",36.56,36.71,36.3,36.48,1193151
"76","VRSN.O",20110420,NA,"End Of Day (from Real-Time)",37,37.48,36.98,37.3,2298850
"77","VRSN.O",20110421,NA,"End Of Day (from Real-Time)",37.43,37.49,37.05,37.3,1196646
"78","VRSN.O",20110425,NA,"End Of Day (from Real-Time)",37.3,37.43,37.1,37.15,1251399
"79","VRSN.O",20110426,NA,"End Of Day (from Real-Time)",37.27,37.45,36.845,37.03,2675910
"80","VRSN.O",20110427,NA,"End Of Day (from Real-Time)",37.05,37.25,36.72,37.19,1213504
"81","VRSN.O",20110428,NA,"End Of Day (from Real-Time)",37.21,37.39,36.83,37.24,2330292
"82","VRSN.O",20110429,NA,"End Of Day (from Real-Time)",37.3,37.39,36.68,36.98,4125109
"83","VRSN.O",20110502,NA,"End Of Day (from Real-Time)",37.49,37.49,36.96,37.14,3602026
"84","VRSN.O",20110503,NA,"End Of Day (from Real-Time)",37.15,37.32,36.13,36.56,6606940
"85","VRSN.O",20110504,NA,"End Of Day (from Real-Time)",36.6,36.81,36.18,36.21,3164836
"86","VRSN.O",20110505,NA,"End Of Day (from Real-Time)",33.35,34.8,33.35,34.64,4365552
"87","VRSN.O",20110506,NA,"End Of Day (from Real-Time)",34.92,35.67,34.64,35.57,5188630
"88","VRSN.O",20110509,NA,"End Of Day (from Real-Time)",35.4,35.91,35.34,35.6,3102502
"89","VRSN.O",20110510,NA,"End Of Day (from Real-Time)",35.63,35.89,35.42,35.78,2686756
"90","VRSN.O",20110511,NA,"End Of Day (from Real-Time)",35.63,35.99,35.3,35.56,2343405
