"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","WEC.N",20110103,NA,"End Of Day (from Real-Time)",58.85,58.98,58.41,58.8,237742
"2","WEC.N",20110104,NA,"End Of Day (from Real-Time)",58.79,58.79,57.73,58.06,427397
"3","WEC.N",20110105,NA,"End Of Day (from Real-Time)",57.83,58.02,57.65,57.74,224895
"4","WEC.N",20110106,NA,"End Of Day (from Real-Time)",58.47,58.61,57.7,57.94,379461
"5","WEC.N",20110107,NA,"End Of Day (from Real-Time)",58.14,58.59,57.85,58.38,391931
"6","WEC.N",20110110,NA,"End Of Day (from Real-Time)",58.07,58.78,57.79,58.54,273362
"7","WEC.N",20110111,NA,"End Of Day (from Real-Time)",58.71,58.82,58.45,58.7,180213
"8","WEC.N",20110112,NA,"End Of Day (from Real-Time)",58.93,59.31,58.79,59.25,154202
"9","WEC.N",20110113,NA,"End Of Day (from Real-Time)",59.19,59.2,58.85,59.1,117240
"10","WEC.N",20110114,NA,"End Of Day (from Real-Time)",58.95,59.31,58.84,59.3,174617
"11","WEC.N",20110118,NA,"End Of Day (from Real-Time)",59.36,59.5,59.14,59.41,130943
"12","WEC.N",20110119,NA,"End Of Day (from Real-Time)",59.45,59.49,59.18,59.37,172522
"13","WEC.N",20110120,NA,"End Of Day (from Real-Time)",59.4,59.87,59.33,59.36,158987
"14","WEC.N",20110121,NA,"End Of Day (from Real-Time)",59.74,60,59.55,59.66,278830
"15","WEC.N",20110124,NA,"End Of Day (from Real-Time)",59.77,60.46,59.71,60.35,200033
"16","WEC.N",20110125,NA,"End Of Day (from Real-Time)",60.39,60.46,60.02,60.32,149479
"17","WEC.N",20110126,NA,"End Of Day (from Real-Time)",60.33,60.49,60,60.1,212800
"18","WEC.N",20110127,NA,"End Of Day (from Real-Time)",60.02,60.95,60.02,60.7,190468
"19","WEC.N",20110128,NA,"End Of Day (from Real-Time)",60.78,60.83,59.99,60.03,144493
"20","WEC.N",20110131,NA,"End Of Day (from Real-Time)",60.06,60.43,60.04,60.29,157902
"21","WEC.N",20110201,NA,"End Of Day (from Real-Time)",60.54,61.1,60.38,61.02,266315
"22","WEC.N",20110202,NA,"End Of Day (from Real-Time)",60.82,61.05,59.59,59.6,289806
"23","WEC.N",20110203,NA,"End Of Day (from Real-Time)",58.29,59.05,57.95,58.93,969460
"24","WEC.N",20110204,NA,"End Of Day (from Real-Time)",58.95,59.07,58.04,58.5,255256
"25","WEC.N",20110207,NA,"End Of Day (from Real-Time)",58.6,59.14,58.55,59.05,212916
"26","WEC.N",20110208,NA,"End Of Day (from Real-Time)",59.07,59.49,58.84,59.48,232904
"27","WEC.N",20110209,NA,"End Of Day (from Real-Time)",59.27,59.46,58.94,59.35,261467
"28","WEC.N",20110210,NA,"End Of Day (from Real-Time)",58.78,58.96,58.42,58.51,315273
"29","WEC.N",20110211,NA,"End Of Day (from Real-Time)",58.35,58.81,58.35,58.57,254948
"30","WEC.N",20110214,NA,"End Of Day (from Real-Time)",58.63,58.64,58.1,58.35,184552
"31","WEC.N",20110215,NA,"End Of Day (from Real-Time)",58.31,58.8,58.09,58.7,184043
"32","WEC.N",20110216,NA,"End Of Day (from Real-Time)",58.74,58.93,58.39,58.9,208736
"33","WEC.N",20110217,NA,"End Of Day (from Real-Time)",58.82,59.24,58.65,58.82,158974
"34","WEC.N",20110218,NA,"End Of Day (from Real-Time)",58.87,59.15,58.46,58.73,291210
"35","WEC.N",20110222,NA,"End Of Day (from Real-Time)",58.37,58.81,58.11,58.72,257595
"36","WEC.N",20110223,NA,"End Of Day (from Real-Time)",58.65,58.8,58.19,58.2,214181
"37","WEC.N",20110224,NA,"End Of Day (from Real-Time)",58.16,58.43,58.05,58.26,247248
