"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","WFC.N",20110103,NA,"End Of Day (from Real-Time)",31.25,31.66,31.16,31.58,8139275
"2","WFC.N",20110104,NA,"End Of Day (from Real-Time)",31.67,31.94,31.49,31.65,5616265
"3","WFC.N",20110105,NA,"End Of Day (from Real-Time)",31.47,32.49,31.46,32.37,6481372
"4","WFC.N",20110106,NA,"End Of Day (from Real-Time)",32.22,32.46,32.12,32.15,6279688
"5","WFC.N",20110107,NA,"End Of Day (from Real-Time)",32.22,32.23,30.64,31.5,13492318
"6","WFC.N",20110110,NA,"End Of Day (from Real-Time)",31.12,31.44,30.97,31.2,6428265
"7","WFC.N",20110111,NA,"End Of Day (from Real-Time)",31.64,31.68,31.04,31.4,5635236
"8","WFC.N",20110112,NA,"End Of Day (from Real-Time)",31.74,32.15,31.63,32.01,5781447
"9","WFC.N",20110113,NA,"End Of Day (from Real-Time)",32.07,32.11,31.71,31.89,4431253
"10","WFC.N",20110114,NA,"End Of Day (from Real-Time)",31.85,32.81,31.84,32.75,7328954
"11","WFC.N",20110118,NA,"End Of Day (from Real-Time)",32.94,32.94,32.06,32.47,7355797
"12","WFC.N",20110119,NA,"End Of Day (from Real-Time)",32.08,32.77,31.66,31.81,9374940
"13","WFC.N",20110120,NA,"End Of Day (from Real-Time)",32.18,32.39,31.62,31.89,6154076
"14","WFC.N",20110121,NA,"End Of Day (from Real-Time)",32.25,32.7,32.08,32.51,11343622
"15","WFC.N",20110124,NA,"End Of Day (from Real-Time)",32.49,32.71,32.45,32.7,6064646
"16","WFC.N",20110125,NA,"End Of Day (from Real-Time)",32.49,32.71,32,32.7,5403907
"17","WFC.N",20110126,NA,"End Of Day (from Real-Time)",32.73,32.82,32.41,32.45,4999053
"18","WFC.N",20110127,NA,"End Of Day (from Real-Time)",32.22,32.54,32.07,32.5,4236959
"19","WFC.N",20110128,NA,"End Of Day (from Real-Time)",32.51,32.79,31.79,31.84,8183947
"20","WFC.N",20110131,NA,"End Of Day (from Real-Time)",32.01,32.5,31.74,32.42,6140091
"21","WFC.N",20110201,NA,"End Of Day (from Real-Time)",32.65,33.49,32.53,33.44,6906599
"22","WFC.N",20110202,NA,"End Of Day (from Real-Time)",33.15,33.27,32.68,32.72,5653109
"23","WFC.N",20110203,NA,"End Of Day (from Real-Time)",32.67,32.97,32.5,32.75,4076149
"24","WFC.N",20110204,NA,"End Of Day (from Real-Time)",32.69,32.89,32.37,32.77,3667052
"25","WFC.N",20110207,NA,"End Of Day (from Real-Time)",32.99,33.55,32.94,33.32,3962341
"26","WFC.N",20110208,NA,"End Of Day (from Real-Time)",33.32,34.25,33.21,34.1,6307195
"27","WFC.N",20110209,NA,"End Of Day (from Real-Time)",33.4,33.66,32.74,33.13,11292345
"28","WFC.N",20110210,NA,"End Of Day (from Real-Time)",33.05,33.43,32.76,33,6247862
"29","WFC.N",20110211,NA,"End Of Day (from Real-Time)",32.71,33.89,32.69,33.76,7688974
"30","WFC.N",20110214,NA,"End Of Day (from Real-Time)",33.67,34.06,33.65,33.87,3254861
"31","WFC.N",20110215,NA,"End Of Day (from Real-Time)",33.94,34.18,33.58,33.68,5322086
"32","WFC.N",20110216,NA,"End Of Day (from Real-Time)",33.77,33.77,32.48,33.3,11855292
"33","WFC.N",20110217,NA,"End Of Day (from Real-Time)",33.06,33.13,32.89,32.95,5158403
"34","WFC.N",20110218,NA,"End Of Day (from Real-Time)",32.98,32.99,32.35,32.64,11571761
"35","WFC.N",20110222,NA,"End Of Day (from Real-Time)",31.99,32.24,31.14,31.38,11330857
"36","WFC.N",20110223,NA,"End Of Day (from Real-Time)",31.41,31.68,30.81,31.5,7425315
"37","WFC.N",20110224,NA,"End Of Day (from Real-Time)",31.02,31.58,30.94,31.44,7213581
"38","WFC.N",20110225,NA,"End Of Day (from Real-Time)",32.36,32.74,32.25,32.4,7384561
"39","WFC.N",20110228,NA,"End Of Day (from Real-Time)",32.4,32.66,32.04,32.26,8150994
"40","WFC.N",20110301,NA,"End Of Day (from Real-Time)",32.25,32.46,31.6,31.65,8165956
"41","WFC.N",20110302,NA,"End Of Day (from Real-Time)",31.41,31.95,31.27,31.55,6169023
"42","WFC.N",20110303,NA,"End Of Day (from Real-Time)",32.02,32.53,31.94,32.41,5456235
"43","WFC.N",20110304,NA,"End Of Day (from Real-Time)",32.26,32.35,31.57,31.91,6128622
"44","WFC.N",20110307,NA,"End Of Day (from Real-Time)",32.11,32.37,31.61,31.72,4858250
"45","WFC.N",20110308,NA,"End Of Day (from Real-Time)",31.95,32.78,31.85,32.5,6828019
"46","WFC.N",20110309,NA,"End Of Day (from Real-Time)",32.45,32.96,32.24,32.8,4217575
"47","WFC.N",20110310,NA,"End Of Day (from Real-Time)",32.3,32.57,32.02,32.06,6674863
"48","WFC.N",20110311,NA,"End Of Day (from Real-Time)",31.96,32.47,31.95,32.38,4863315
"49","WFC.N",20110314,NA,"End Of Day (from Real-Time)",32.02,32.23,31.74,32.1,5132595
"50","WFC.N",20110315,NA,"End Of Day (from Real-Time)",31.5,32.31,31.45,32.27,9682113
"51","WFC.N",20110316,NA,"End Of Day (from Real-Time)",32.2,32.23,31.11,31.23,9617235
"52","WFC.N",20110317,NA,"End Of Day (from Real-Time)",31.65,31.7,30.63,31.36,9911564
"53","WFC.N",20110318,NA,"End Of Day (from Real-Time)",31.85,32.36,31.62,31.83,16311461
"54","WFC.N",20110321,NA,"End Of Day (from Real-Time)",32.22,32.25,31.46,31.89,5539053
"55","WFC.N",20110322,NA,"End Of Day (from Real-Time)",31.8,31.86,31.5,31.51,3699524
"56","WFC.N",20110323,NA,"End Of Day (from Real-Time)",31.41,31.52,30.93,31.45,5018173
"57","WFC.N",20110324,NA,"End Of Day (from Real-Time)",31.31,31.6,31.07,31.55,4028780
"58","WFC.N",20110325,NA,"End Of Day (from Real-Time)",31.52,32.22,31.39,31.94,4335673
"59","WFC.N",20110328,NA,"End Of Day (from Real-Time)",32,32.04,31.61,31.61,3553397
"60","WFC.N",20110329,NA,"End Of Day (from Real-Time)",31.56,31.6,31.27,31.59,3226333
"61","WFC.N",20110330,NA,"End Of Day (from Real-Time)",31.82,32.07,31.6,31.91,4155505
"62","WFC.N",20110331,NA,"End Of Day (from Real-Time)",31.63,31.79,31.53,31.7,5982124
"63","WFC.N",20110401,NA,"End Of Day (from Real-Time)",32.05,32.27,31.83,32.06,5138994
"64","WFC.N",20110404,NA,"End Of Day (from Real-Time)",31.95,32.12,31.52,31.8,4696093
"65","WFC.N",20110405,NA,"End Of Day (from Real-Time)",31.79,32.26,31.61,31.99,4615931
"66","WFC.N",20110406,NA,"End Of Day (from Real-Time)",32.08,32.52,31.87,32.4,5627217
"67","WFC.N",20110407,NA,"End Of Day (from Real-Time)",32.35,32.63,32.03,32.17,5794827
"68","WFC.N",20110408,NA,"End Of Day (from Real-Time)",32.47,32.5,31.56,31.62,4432124
"69","WFC.N",20110411,NA,"End Of Day (from Real-Time)",31.67,31.8,31.27,31.4,4548977
"70","WFC.N",20110412,NA,"End Of Day (from Real-Time)",31.15,31.69,31.02,31.4,3618645
"71","WFC.N",20110413,NA,"End Of Day (from Real-Time)",31.55,31.56,30.65,30.68,6015829
"72","WFC.N",20110414,NA,"End Of Day (from Real-Time)",30.53,30.59,30.1,30.15,6597257
"73","WFC.N",20110415,NA,"End Of Day (from Real-Time)",30.3,30.47,29.86,29.89,9060610
"74","WFC.N",20110418,NA,"End Of Day (from Real-Time)",29.44,29.88,29.36,29.52,7152859
"75","WFC.N",20110419,NA,"End Of Day (from Real-Time)",29.66,30.15,29.6,30.07,5680413
"76","WFC.N",20110420,NA,"End Of Day (from Real-Time)",29.25,29.3,28.21,28.83,16770042
"77","WFC.N",20110421,NA,"End Of Day (from Real-Time)",28.92,29.04,28.3,28.54,9095441
"78","WFC.N",20110425,NA,"End Of Day (from Real-Time)",28.52,28.8,28.46,28.56,5438070
"79","WFC.N",20110426,NA,"End Of Day (from Real-Time)",28.7,28.9,28.42,28.87,6080806
"80","WFC.N",20110427,NA,"End Of Day (from Real-Time)",28.94,29.38,28.93,29.27,5776457
"81","WFC.N",20110428,NA,"End Of Day (from Real-Time)",29.16,29.37,29.13,29.28,6531850
"82","WFC.N",20110429,NA,"End Of Day (from Real-Time)",29.24,29.42,29,29.11,5881034
"83","WFC.N",20110502,NA,"End Of Day (from Real-Time)",29.36,29.36,28.94,29.13,6106818
"84","WFC.N",20110503,NA,"End Of Day (from Real-Time)",28.93,29.53,28.92,29.51,5364196
"85","WFC.N",20110504,NA,"End Of Day (from Real-Time)",29.44,29.55,28.76,28.78,7935355
"86","WFC.N",20110505,NA,"End Of Day (from Real-Time)",28.75,28.81,27.77,28.13,9020352
"87","WFC.N",20110506,NA,"End Of Day (from Real-Time)",28.41,28.59,28.13,28.25,6791171
"88","WFC.N",20110509,NA,"End Of Day (from Real-Time)",28.08,28.47,28.08,28.21,4097221
"89","WFC.N",20110510,NA,"End Of Day (from Real-Time)",28.35,28.58,28.3,28.53,4643048
"90","WFC.N",20110511,NA,"End Of Day (from Real-Time)",28.53,28.56,28.04,28.16,5407471
"91","WFC.N",20110512,NA,"End Of Day (from Real-Time)",28.2,28.28,27.71,28.23,4643094
"92","WFC.N",20110513,NA,"End Of Day (from Real-Time)",28.29,28.4,27.85,27.93,6313826
"93","WFC.N",20110516,NA,"End Of Day (from Real-Time)",27.85,28.33,27.79,27.86,6266147
"94","WFC.N",20110517,NA,"End Of Day (from Real-Time)",27.75,28.76,27.75,28.75,6588590
"95","WFC.N",20110518,NA,"End Of Day (from Real-Time)",28.72,28.94,28.46,28.92,5521654
"96","WFC.N",20110519,NA,"End Of Day (from Real-Time)",28.97,28.98,28.46,28.61,5277241
"97","WFC.N",20110520,NA,"End Of Day (from Real-Time)",28.55,28.61,27.95,28,7855389
"98","WFC.N",20110523,NA,"End Of Day (from Real-Time)",27.56,27.93,27.52,27.53,5750975
"99","WFC.N",20110524,NA,"End Of Day (from Real-Time)",27.58,27.73,27.38,27.63,4821108
"100","WFC.N",20110525,NA,"End Of Day (from Real-Time)",27.43,27.91,27.43,27.56,4546004
"101","WFC.N",20110526,NA,"End Of Day (from Real-Time)",27.45,27.83,27.41,27.7,3836813
"102","WFC.N",20110527,NA,"End Of Day (from Real-Time)",27.83,28.48,27.83,28.14,4847288
"103","WFC.N",20110531,NA,"End Of Day (from Real-Time)",28.43,28.57,28.07,28.37,6825143
"104","WFC.N",20110601,NA,"End Of Day (from Real-Time)",28.29,28.32,26.92,26.94,9658853
"105","WFC.N",20110602,NA,"End Of Day (from Real-Time)",27.06,27.35,26.37,27.14,11585599
"106","WFC.N",20110603,NA,"End Of Day (from Real-Time)",26.61,27.32,26.61,26.86,6897282
"107","WFC.N",20110606,NA,"End Of Day (from Real-Time)",26.33,26.75,26.09,26.26,10471162
"108","WFC.N",20110607,NA,"End Of Day (from Real-Time)",26.37,26.6,25.7,25.77,10188709
"109","WFC.N",20110608,NA,"End Of Day (from Real-Time)",25.89,26.18,25.26,25.36,12465989
"110","WFC.N",20110609,NA,"End Of Day (from Real-Time)",25.49,26.37,25.35,26.22,9792486
"111","WFC.N",20110610,NA,"End Of Day (from Real-Time)",26.02,26.55,25.66,26.26,9001046
"112","WFC.N",20110613,NA,"End Of Day (from Real-Time)",26.58,27.02,26.44,26.9,7915669
"113","WFC.N",20110614,NA,"End Of Day (from Real-Time)",27.29,27.62,26.91,27.01,7270337
"114","WFC.N",20110615,NA,"End Of Day (from Real-Time)",26.68,26.8,26.1,26.55,7823381
"115","WFC.N",20110616,NA,"End Of Day (from Real-Time)",26.52,26.96,26.36,26.8,7147151
"116","WFC.N",20110617,NA,"End Of Day (from Real-Time)",27.18,27.46,27.1,27.33,15546479
"117","WFC.N",20110620,NA,"End Of Day (from Real-Time)",27.18,27.32,26.78,26.95,5877227
"118","WFC.N",20110621,NA,"End Of Day (from Real-Time)",27.15,27.56,26.95,27.46,5429133
"119","WFC.N",20110622,NA,"End Of Day (from Real-Time)",27.34,27.92,27.31,27.37,6098952
"120","WFC.N",20110623,NA,"End Of Day (from Real-Time)",26.9,27.23,26.6,27.04,8913012
"121","WFC.N",20110624,NA,"End Of Day (from Real-Time)",27.12,27.41,26.72,27.26,10530352
"122","WFC.N",20110627,NA,"End Of Day (from Real-Time)",27.25,27.69,27.19,27.45,5986661
"123","WFC.N",20110628,NA,"End Of Day (from Real-Time)",27.66,27.66,27.21,27.49,6562801
"124","WFC.N",20110629,NA,"End Of Day (from Real-Time)",27.87,28.13,27.53,28.07,7290009
"125","WFC.N",20110630,NA,"End Of Day (from Real-Time)",28.18,28.3,27.87,28.06,6982747
"126","WFC.N",20110701,NA,"End Of Day (from Real-Time)",28.05,28.75,28.04,28.66,6235250
"127","WFC.N",20110705,NA,"End Of Day (from Real-Time)",28.53,28.55,28.09,28.42,6261259
"128","WFC.N",20110706,NA,"End Of Day (from Real-Time)",28,28.17,27.64,28.12,5994659
"129","WFC.N",20110707,NA,"End Of Day (from Real-Time)",28.73,28.94,28.58,28.66,5441126
"130","WFC.N",20110708,NA,"End Of Day (from Real-Time)",28.34,28.4,28.07,28.3,5157928
"131","WFC.N",20110711,NA,"End Of Day (from Real-Time)",27.82,27.99,27.45,27.59,6374837
"132","WFC.N",20110712,NA,"End Of Day (from Real-Time)",27.41,27.92,27.39,27.39,5732385
"133","WFC.N",20110713,NA,"End Of Day (from Real-Time)",27.6,28.1,27.48,27.53,5499448
