"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","WMB.N",20110103,NA,"End Of Day (from Real-Time)",24.94,25.2,24.66,24.72,2131831
"2","WMB.N",20110104,NA,"End Of Day (from Real-Time)",24.68,24.8,24.31,24.54,1544334
"3","WMB.N",20110105,NA,"End Of Day (from Real-Time)",24.4,24.74,24.27,24.58,1012700
"4","WMB.N",20110106,NA,"End Of Day (from Real-Time)",24.68,24.68,24.27,24.53,846642
"5","WMB.N",20110107,NA,"End Of Day (from Real-Time)",24.61,24.95,24.4,24.92,1187459
"6","WMB.N",20110110,NA,"End Of Day (from Real-Time)",24.43,24.83,24.41,24.75,1358726
"7","WMB.N",20110111,NA,"End Of Day (from Real-Time)",24.76,25.44,24.64,25.37,1856784
"8","WMB.N",20110112,NA,"End Of Day (from Real-Time)",25.53,25.9,25.5,25.89,1281540
"9","WMB.N",20110113,NA,"End Of Day (from Real-Time)",26.5,26.7,26.2,26.52,2583249
"10","WMB.N",20110114,NA,"End Of Day (from Real-Time)",26.4,26.52,26.22,26.46,1417319
"11","WMB.N",20110118,NA,"End Of Day (from Real-Time)",26.48,26.57,26.2,26.25,1335691
"12","WMB.N",20110119,NA,"End Of Day (from Real-Time)",26.32,26.37,25.9,26.03,1461675
"13","WMB.N",20110120,NA,"End Of Day (from Real-Time)",25.98,26.3,25.78,26.12,2052683
"14","WMB.N",20110121,NA,"End Of Day (from Real-Time)",26.25,26.72,26.18,26.4,2569639
"15","WMB.N",20110124,NA,"End Of Day (from Real-Time)",26.33,26.56,26.23,26.54,1181608
"16","WMB.N",20110125,NA,"End Of Day (from Real-Time)",26.53,26.53,26.17,26.35,1299828
"17","WMB.N",20110126,NA,"End Of Day (from Real-Time)",26.49,26.91,26.48,26.87,1601067
"18","WMB.N",20110127,NA,"End Of Day (from Real-Time)",26.86,27.04,26.62,26.97,1507006
"19","WMB.N",20110128,NA,"End Of Day (from Real-Time)",27,27.17,26.49,26.6,2739261
"20","WMB.N",20110131,NA,"End Of Day (from Real-Time)",26.7,27.14,26.7,26.99,2313296
"21","WMB.N",20110201,NA,"End Of Day (from Real-Time)",27.14,27.43,27.13,27.37,1820057
"22","WMB.N",20110202,NA,"End Of Day (from Real-Time)",27.12,27.45,27.12,27.14,953585
"23","WMB.N",20110203,NA,"End Of Day (from Real-Time)",27.27,27.77,27.18,27.6,2204571
"24","WMB.N",20110204,NA,"End Of Day (from Real-Time)",27.64,27.77,27.39,27.46,1240136
"25","WMB.N",20110207,NA,"End Of Day (from Real-Time)",27.52,27.94,27.52,27.58,1161018
"26","WMB.N",20110208,NA,"End Of Day (from Real-Time)",27.84,28.07,27.48,27.74,2221118
"27","WMB.N",20110209,NA,"End Of Day (from Real-Time)",27.56,27.73,27.02,27.25,1129071
"28","WMB.N",20110210,NA,"End Of Day (from Real-Time)",27.16,27.47,27.09,27.36,1208214
"29","WMB.N",20110211,NA,"End Of Day (from Real-Time)",27.26,27.44,26.92,26.99,2146870
"30","WMB.N",20110214,NA,"End Of Day (from Real-Time)",26.94,27.23,26.85,27.01,1741153
"31","WMB.N",20110215,NA,"End Of Day (from Real-Time)",26.92,27.21,26.83,27.03,1954565
"32","WMB.N",20110216,NA,"End Of Day (from Real-Time)",27.74,27.98,27.42,27.76,3646297
"33","WMB.N",20110217,NA,"End Of Day (from Real-Time)",30.22,30.95,29.46,30.08,8507332
"34","WMB.N",20110218,NA,"End Of Day (from Real-Time)",30.25,30.73,30.18,30.37,4354051
"35","WMB.N",20110222,NA,"End Of Day (from Real-Time)",30.52,30.68,29.71,29.88,2683764
"36","WMB.N",20110223,NA,"End Of Day (from Real-Time)",29.78,30.46,29.51,29.9,2490344
"37","WMB.N",20110224,NA,"End Of Day (from Real-Time)",29.9,30.02,29.49,29.73,1828934
"38","WMB.N",20110225,NA,"End Of Day (from Real-Time)",29.86,30.3,29.75,30.26,1847779
"39","WMB.N",20110228,NA,"End Of Day (from Real-Time)",30.38,30.42,30.03,30.36,2258373
"40","WMB.N",20110301,NA,"End Of Day (from Real-Time)",30.6,30.82,29.98,30.02,1969830
"41","WMB.N",20110302,NA,"End Of Day (from Real-Time)",30.01,30.69,29.86,30.39,1960871
"42","WMB.N",20110303,NA,"End Of Day (from Real-Time)",30.58,30.81,30.12,30.77,1886652
"43","WMB.N",20110304,NA,"End Of Day (from Real-Time)",30.75,30.88,30.46,30.84,2076140
"44","WMB.N",20110307,NA,"End Of Day (from Real-Time)",30.86,31,29.97,30.28,1983423
"45","WMB.N",20110308,NA,"End Of Day (from Real-Time)",30.3,30.52,29.91,30.03,1384916
"46","WMB.N",20110309,NA,"End Of Day (from Real-Time)",29.83,30.14,29.7,29.84,1554583
"47","WMB.N",20110310,NA,"End Of Day (from Real-Time)",29.53,29.91,28.94,29.36,2930999
"48","WMB.N",20110311,NA,"End Of Day (from Real-Time)",29.51,30.12,29.28,29.98,1468977
"49","WMB.N",20110314,NA,"End Of Day (from Real-Time)",29.84,29.99,29.46,29.8,1396428
"50","WMB.N",20110315,NA,"End Of Day (from Real-Time)",28.95,29.58,28.73,29.44,1951907
"51","WMB.N",20110316,NA,"End Of Day (from Real-Time)",29.49,29.85,28.71,29.02,3186324
"52","WMB.N",20110317,NA,"End Of Day (from Real-Time)",29.66,29.85,29.32,29.63,2029133
"53","WMB.N",20110318,NA,"End Of Day (from Real-Time)",29.96,30.04,29.6,29.69,2851677
"54","WMB.N",20110321,NA,"End Of Day (from Real-Time)",30.22,30.93,30.13,30.75,1558058
"55","WMB.N",20110322,NA,"End Of Day (from Real-Time)",30.77,30.85,30.29,30.5,1041638
"56","WMB.N",20110323,NA,"End Of Day (from Real-Time)",30.43,30.54,30.05,30.46,1787352
"57","WMB.N",20110324,NA,"End Of Day (from Real-Time)",30.48,30.76,30.32,30.65,1323406
"58","WMB.N",20110325,NA,"End Of Day (from Real-Time)",30.72,31.34,30.63,31.13,1389364
"59","WMB.N",20110328,NA,"End Of Day (from Real-Time)",31.29,31.45,30.63,30.64,1158758
"60","WMB.N",20110329,NA,"End Of Day (from Real-Time)",30.58,30.78,30.29,30.75,1219906
"61","WMB.N",20110330,NA,"End Of Day (from Real-Time)",30.97,31.61,30.77,31.45,1837354
"62","WMB.N",20110331,NA,"End Of Day (from Real-Time)",31.53,31.76,31.15,31.18,2231260
"63","WMB.N",20110401,NA,"End Of Day (from Real-Time)",31.69,31.89,31.21,31.28,1281141
"64","WMB.N",20110404,NA,"End Of Day (from Real-Time)",31.28,31.36,30.93,31.1,1277996
"65","WMB.N",20110405,NA,"End Of Day (from Real-Time)",31,31.2,30.85,30.92,1041254
"66","WMB.N",20110406,NA,"End Of Day (from Real-Time)",31.13,31.21,30.35,30.68,1202572
"67","WMB.N",20110407,NA,"End Of Day (from Real-Time)",30.61,31.06,30.43,31.02,1450553
"68","WMB.N",20110408,NA,"End Of Day (from Real-Time)",31.14,31.4,30.64,30.83,1103753
"69","WMB.N",20110411,NA,"End Of Day (from Real-Time)",31.04,31.31,30.54,30.68,1892464
