"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","WU.N",20110103,NA,"End Of Day (from Real-Time)",18.67,18.88,18.59,18.74,1883286
"2","WU.N",20110104,NA,"End Of Day (from Real-Time)",18.75,18.91,18.59,18.61,1077585
"3","WU.N",20110105,NA,"End Of Day (from Real-Time)",18.55,18.95,18.4,18.94,1823078
"4","WU.N",20110106,NA,"End Of Day (from Real-Time)",18.87,19.41,18.82,19.37,1629206
"5","WU.N",20110107,NA,"End Of Day (from Real-Time)",19.35,19.48,19.06,19.19,1420612
"6","WU.N",20110110,NA,"End Of Day (from Real-Time)",19.06,19.2,18.84,19.02,1357422
"7","WU.N",20110111,NA,"End Of Day (from Real-Time)",19.06,19.31,19.04,19.24,885174
"8","WU.N",20110112,NA,"End Of Day (from Real-Time)",19.35,19.36,19.1,19.15,1208055
"9","WU.N",20110113,NA,"End Of Day (from Real-Time)",19.14,19.16,18.95,19.11,1299069
"10","WU.N",20110114,NA,"End Of Day (from Real-Time)",19.09,19.26,19.04,19.26,1126598
"11","WU.N",20110118,NA,"End Of Day (from Real-Time)",19.26,19.38,19.24,19.29,937684
"12","WU.N",20110119,NA,"End Of Day (from Real-Time)",19.31,19.32,19.07,19.09,1029917
"13","WU.N",20110120,NA,"End Of Day (from Real-Time)",19.12,19.22,18.98,19.18,1562599
"14","WU.N",20110121,NA,"End Of Day (from Real-Time)",19.37,19.42,19.19,19.31,1347546
"15","WU.N",20110124,NA,"End Of Day (from Real-Time)",19.18,19.95,19.17,19.7,2235206
"16","WU.N",20110125,NA,"End Of Day (from Real-Time)",19.61,19.71,19.5,19.7,1130983
"17","WU.N",20110126,NA,"End Of Day (from Real-Time)",19.73,20.2,19.73,20.14,1806616
"18","WU.N",20110127,NA,"End Of Day (from Real-Time)",20.09,20.35,20,20.34,1750245
"19","WU.N",20110128,NA,"End Of Day (from Real-Time)",20.36,20.53,19.74,19.75,1934329
"20","WU.N",20110131,NA,"End Of Day (from Real-Time)",19.75,20.29,19.44,20.28,2958692
"21","WU.N",20110201,NA,"End Of Day (from Real-Time)",20.5,20.5,20.2,20.29,1982177
"22","WU.N",20110202,NA,"End Of Day (from Real-Time)",20.29,20.81,20.18,20.77,2340038
"23","WU.N",20110203,NA,"End Of Day (from Real-Time)",20.73,20.74,20.46,20.68,1752941
"24","WU.N",20110204,NA,"End Of Day (from Real-Time)",20.69,21,20.68,20.96,1298367
