"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","XRAY.O",20110103,NA,"End Of Day (from Real-Time)",34.46,35.25,34.43,35.1,1132880
"2","XRAY.O",20110104,NA,"End Of Day (from Real-Time)",35.07,35.2,34.65,34.71,690706
"3","XRAY.O",20110105,NA,"End Of Day (from Real-Time)",34.64,35.13,34.53,35.04,585151
"4","XRAY.O",20110106,NA,"End Of Day (from Real-Time)",34.93,35.12,34.69,34.84,500633
"5","XRAY.O",20110107,NA,"End Of Day (from Real-Time)",34.95,34.97,34.38,34.7,447697
"6","XRAY.O",20110110,NA,"End Of Day (from Real-Time)",34.89,35.13,34.49,35.0625,653464
"7","XRAY.O",20110111,NA,"End Of Day (from Real-Time)",35.17,35.71,35.07,35.32,754584
"8","XRAY.O",20110112,NA,"End Of Day (from Real-Time)",36.71,36.76,36.04,36.28,975816
"9","XRAY.O",20110113,NA,"End Of Day (from Real-Time)",36.25,36.38,36.15,36.3,472499
"10","XRAY.O",20110114,NA,"End Of Day (from Real-Time)",36.21,36.33,36.13,36.29,356536
"11","XRAY.O",20110118,NA,"End Of Day (from Real-Time)",36.4,36.71,36.28,36.71,521104
"12","XRAY.O",20110119,NA,"End Of Day (from Real-Time)",36.48,36.6,35.92,35.98,696980
"13","XRAY.O",20110120,NA,"End Of Day (from Real-Time)",35.98,36.26,35.84,35.95,680436
"14","XRAY.O",20110121,NA,"End Of Day (from Real-Time)",36.1,36.2,35.77,35.84,897679
"15","XRAY.O",20110124,NA,"End Of Day (from Real-Time)",35.85,36.09,35.85,35.9,670829
"16","XRAY.O",20110125,NA,"End Of Day (from Real-Time)",35.7,35.94,35.57,35.94,990460
"17","XRAY.O",20110126,NA,"End Of Day (from Real-Time)",35.91,36.09,35.77,35.96,539049
"18","XRAY.O",20110127,NA,"End Of Day (from Real-Time)",35.96,36.61,35.911,36.55,835297
"19","XRAY.O",20110128,NA,"End Of Day (from Real-Time)",36.54,36.95,35.3679,35.75,1283363
"20","XRAY.O",20110131,NA,"End Of Day (from Real-Time)",35.66,35.87,34.26,35.48,2513788
"21","XRAY.O",20110201,NA,"End Of Day (from Real-Time)",35.57,36.58,35.57,36.36,864072
"22","XRAY.O",20110202,NA,"End Of Day (from Real-Time)",36.15,36.29,35.91,35.9825,715400
"23","XRAY.O",20110203,NA,"End Of Day (from Real-Time)",35.81,36.39,35.72,36.29,604825
"24","XRAY.O",20110204,NA,"End Of Day (from Real-Time)",36.4,36.67,36.24,36.4,619915
"25","XRAY.O",20110207,NA,"End Of Day (from Real-Time)",36.38,36.68,36.34,36.65,872838
"26","XRAY.O",20110208,NA,"End Of Day (from Real-Time)",36.67,36.84,36.43,36.84,790050
"27","XRAY.O",20110209,NA,"End Of Day (from Real-Time)",36.45,36.84,35.99,36.16,1179492
"28","XRAY.O",20110210,NA,"End Of Day (from Real-Time)",35.69,36.43,35.57,36.36,908393
"29","XRAY.O",20110211,NA,"End Of Day (from Real-Time)",36.13,36.65,35.96,36.62,576159
"30","XRAY.O",20110214,NA,"End Of Day (from Real-Time)",36.56,36.72,36.32,36.42,704481
"31","XRAY.O",20110215,NA,"End Of Day (from Real-Time)",36.2,36.6,36.11,36.57,643798
"32","XRAY.O",20110216,NA,"End Of Day (from Real-Time)",36.64,36.78,36.3,36.58,431830
"33","XRAY.O",20110217,NA,"End Of Day (from Real-Time)",36.42,36.6,36.25,36.51,455394
"34","XRAY.O",20110218,NA,"End Of Day (from Real-Time)",36.06,37,35.96,36.99,1087247
"35","XRAY.O",20110222,NA,"End Of Day (from Real-Time)",36.66,36.73,35.98,36.28,929794
"36","XRAY.O",20110223,NA,"End Of Day (from Real-Time)",36.25,36.27,35.86,36.12,962056
"37","XRAY.O",20110224,NA,"End Of Day (from Real-Time)",36.18,36.18,35.46,36.07,863908
"38","XRAY.O",20110225,NA,"End Of Day (from Real-Time)",36.21,36.855,36.13,36.74,505848
"39","XRAY.O",20110228,NA,"End Of Day (from Real-Time)",36.93,37.43,36.85,37.37,985957
