"","X.RIC","Date.L.","Time.L.","Type","Open","High","Low","Last","Volume"
"1","YUM.N",20110103,NA,"End Of Day (from Real-Time)",49.33,49.5,48.99,49.09,912940
"2","YUM.N",20110104,NA,"End Of Day (from Real-Time)",49.1,49.1,47.77,48.34,1200515
"3","YUM.N",20110105,NA,"End Of Day (from Real-Time)",48.12,48.79,48,48.57,876314
"4","YUM.N",20110106,NA,"End Of Day (from Real-Time)",48.89,49.05,48.54,48.91,889942
"5","YUM.N",20110107,NA,"End Of Day (from Real-Time)",49.11,49.62,48.89,49.52,1083542
"6","YUM.N",20110110,NA,"End Of Day (from Real-Time)",49.33,49.83,49.1,49.59,867410
"7","YUM.N",20110111,NA,"End Of Day (from Real-Time)",49.85,49.85,49.19,49.27,697902
"8","YUM.N",20110112,NA,"End Of Day (from Real-Time)",49.29,49.59,49.09,49.15,615362
"9","YUM.N",20110113,NA,"End Of Day (from Real-Time)",49.2,49.42,48.82,48.9,658059
"10","YUM.N",20110114,NA,"End Of Day (from Real-Time)",48.55,48.57,47.8,47.84,1279497
"11","YUM.N",20110118,NA,"End Of Day (from Real-Time)",47.88,49.51,47.81,49.25,1348289
"12","YUM.N",20110119,NA,"End Of Day (from Real-Time)",49.25,49.41,48.95,49.29,1118559
"13","YUM.N",20110120,NA,"End Of Day (from Real-Time)",49.28,49.5,48.53,48.64,972808
"14","YUM.N",20110121,NA,"End Of Day (from Real-Time)",48.7,48.79,48.06,48.27,1037843
"15","YUM.N",20110124,NA,"End Of Day (from Real-Time)",48.24,48.42,48.05,48.3,836331
"16","YUM.N",20110125,NA,"End Of Day (from Real-Time)",48.25,48.41,47.8,48,988748
"17","YUM.N",20110126,NA,"End Of Day (from Real-Time)",48.15,48.26,47.75,47.77,911153
"18","YUM.N",20110127,NA,"End Of Day (from Real-Time)",47.77,48.25,47.55,47.59,846552
"19","YUM.N",20110128,NA,"End Of Day (from Real-Time)",47.75,48.24,46.27,46.4,1737218
"20","YUM.N",20110131,NA,"End Of Day (from Real-Time)",46.53,46.96,46.37,46.76,903696
"21","YUM.N",20110201,NA,"End Of Day (from Real-Time)",46.97,47.76,46.76,47.42,714396
"22","YUM.N",20110202,NA,"End Of Day (from Real-Time)",47.62,47.9,47.27,47.73,676728
"23","YUM.N",20110203,NA,"End Of Day (from Real-Time)",49.05,50.16,49,49.23,1678134
"24","YUM.N",20110204,NA,"End Of Day (from Real-Time)",49.34,49.64,48.78,49.3,980668
"25","YUM.N",20110207,NA,"End Of Day (from Real-Time)",49.32,49.86,49.1,49.4,859854
"26","YUM.N",20110208,NA,"End Of Day (from Real-Time)",49.56,49.98,49.41,49.59,693142
"27","YUM.N",20110209,NA,"End Of Day (from Real-Time)",49.4,49.79,49.14,49.5,656994
"28","YUM.N",20110210,NA,"End Of Day (from Real-Time)",49.36,49.77,49.1,49.74,815277
"29","YUM.N",20110211,NA,"End Of Day (from Real-Time)",49.3,49.81,49.09,49.77,736349
"30","YUM.N",20110214,NA,"End Of Day (from Real-Time)",49.72,50.4,49.3,50.3,809552
"31","YUM.N",20110215,NA,"End Of Day (from Real-Time)",50.08,50.86,49.91,50.73,850099
"32","YUM.N",20110216,NA,"End Of Day (from Real-Time)",50.97,51.48,50.82,51.18,781048
"33","YUM.N",20110217,NA,"End Of Day (from Real-Time)",51.06,51.44,50.83,51.38,789075
"34","YUM.N",20110218,NA,"End Of Day (from Real-Time)",51.44,51.45,50.86,51.17,1045521
"35","YUM.N",20110222,NA,"End Of Day (from Real-Time)",50.95,50.97,49.57,49.72,1034993
"36","YUM.N",20110223,NA,"End Of Day (from Real-Time)",49.69,50.08,48.56,49.27,944389
"37","YUM.N",20110224,NA,"End Of Day (from Real-Time)",49.13,49.48,48.67,49.37,723286
"38","YUM.N",20110225,NA,"End Of Day (from Real-Time)",49.57,50.14,49.48,50.01,673558
"39","YUM.N",20110228,NA,"End Of Day (from Real-Time)",50.09,50.52,49.96,50.33,876942
"40","YUM.N",20110301,NA,"End Of Day (from Real-Time)",50.54,50.57,49.69,49.85,1112045
"41","YUM.N",20110302,NA,"End Of Day (from Real-Time)",49.7,49.8,48.91,49.48,814939
"42","YUM.N",20110303,NA,"End Of Day (from Real-Time)",49.87,50.66,49.86,50.66,703073
