#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
DAL.N,20110103,,End Of Day (from Real-Time),12.7,12.85,12.47,12.58,3153581
DAL.N,20110104,,End Of Day (from Real-Time),12.58,12.79,12.38,12.53,3496420
DAL.N,20110105,,End Of Day (from Real-Time),12.62,13.21,12.59,12.98,3940084
DAL.N,20110106,,End Of Day (from Real-Time),12.97,13.11,12.73,12.91,2294941
DAL.N,20110107,,End Of Day (from Real-Time),12.92,13.06,12.8,13,2178437
DAL.N,20110110,,End Of Day (from Real-Time),12.95,12.96,12.56,12.6,2057049
DAL.N,20110111,,End Of Day (from Real-Time),12.68,12.68,12.32,12.35,1422322
DAL.N,20110112,,End Of Day (from Real-Time),12.49,12.55,12.32,12.51,1467108
DAL.N,20110113,,End Of Day (from Real-Time),12.51,12.68,12.28,12.61,1916182
DAL.N,20110114,,End Of Day (from Real-Time),12.56,12.81,12.5,12.75,2524479
DAL.N,20110118,,End Of Day (from Real-Time),12.5,12.55,11.7,11.7,4841321
DAL.N,20110119,,End Of Day (from Real-Time),11.83,11.95,11.35,11.45,3986005
DAL.N,20110120,,End Of Day (from Real-Time),11.38,11.61,11.11,11.61,4391420
DAL.N,20110121,,End Of Day (from Real-Time),11.72,11.78,11.39,11.54,3781689
DAL.N,20110124,,End Of Day (from Real-Time),11.61,12.07,11.61,12.02,4917737
DAL.N,20110125,,End Of Day (from Real-Time),11.93,12.01,11.49,11.63,3793354
DAL.N,20110126,,End Of Day (from Real-Time),11.85,12.01,11.74,11.98,3778728
DAL.N,20110127,,End Of Day (from Real-Time),11.95,12.34,11.9,12.3,3255589
DAL.N,20110128,,End Of Day (from Real-Time),12.27,12.29,11.59,11.83,3600662
DAL.N,20110131,,End Of Day (from Real-Time),12.09,12.1,11.67,11.67,3320025
DAL.N,20110201,,End Of Day (from Real-Time),11.75,11.88,11.65,11.79,2276673
DAL.N,20110202,,End Of Day (from Real-Time),11.7,11.73,11.32,11.35,2673058
DAL.N,20110203,,End Of Day (from Real-Time),11.39,11.85,11.39,11.53,2848767
DAL.N,20110204,,End Of Day (from Real-Time),11.49,11.55,11.36,11.4,2198156
DAL.N,20110207,,End Of Day (from Real-Time),11.46,11.69,11.46,11.55,2452844
DAL.N,20110208,,End Of Day (from Real-Time),11.59,11.98,11.59,11.86,2844795
DAL.N,20110209,,End Of Day (from Real-Time),11.85,11.91,11.74,11.74,4594420
DAL.N,20110210,,End Of Day (from Real-Time),11.59,11.78,11.53,11.69,2092859
DAL.N,20110211,,End Of Day (from Real-Time),11.65,12.02,11.61,11.9,3088616
DAL.N,20110214,,End Of Day (from Real-Time),11.89,12,11.63,11.82,2474360
DAL.N,20110215,,End Of Day (from Real-Time),11.79,11.99,11.66,11.9,2256278
DAL.N,20110216,,End Of Day (from Real-Time),11.95,12.13,11.72,11.82,2740704
DAL.N,20110217,,End Of Day (from Real-Time),11.82,11.87,11.6,11.65,2167022
DAL.N,20110218,,End Of Day (from Real-Time),11.72,11.73,11.4,11.5,2219154
DAL.N,20110222,,End Of Day (from Real-Time),10.8,10.96,10.59,10.74,5789871
DAL.N,20110223,,End Of Day (from Real-Time),10.62,11.08,10.37,11.02,7638475
DAL.N,20110224,,End Of Day (from Real-Time),10.83,11.31,10.68,11.13,4508932
DAL.N,20110225,,End Of Day (from Real-Time),11.24,11.29,11,11.12,2616025
DAL.N,20110228,,End Of Day (from Real-Time),11.08,11.32,11.01,11.24,4752911
DAL.N,20110301,,End Of Day (from Real-Time),11.23,11.23,10.6,10.61,3728273
DAL.N,20110302,,End Of Day (from Real-Time),10.64,10.79,10.12,10.15,4596170
DAL.N,20110303,,End Of Day (from Real-Time),10.41,10.48,10.09,10.26,5656322
DAL.N,20110304,,End Of Day (from Real-Time),10.26,10.28,9.87,9.91,3165634
DAL.N,20110307,,End Of Day (from Real-Time),10,10.21,9.92,10.09,4942409
DAL.N,20110308,,End Of Day (from Real-Time),10.16,11.17,10.12,11.07,5306887
DAL.N,20110309,,End Of Day (from Real-Time),10.91,10.91,10.64,10.88,2755887
DAL.N,20110310,,End Of Day (from Real-Time),10.8,11.46,10.68,11.18,4897407
DAL.N,20110311,,End Of Day (from Real-Time),11.28,11.64,11.15,11.23,3646333
DAL.N,20110314,,End Of Day (from Real-Time),11.18,11.24,10.82,10.97,2127378
DAL.N,20110315,,End Of Day (from Real-Time),10.52,10.93,10.45,10.69,3168870
DAL.N,20110316,,End Of Day (from Real-Time),10.65,10.75,10.14,10.2,3702793
DAL.N,20110317,,End Of Day (from Real-Time),10.35,10.5,9.84,9.86,4212638
