#RIC,Date[L],Time[L],Type,Open,High,Low,Last,Volume
THC.N,20110103,,End Of Day (from Real-Time),6.75,6.85,6.73,6.8,1345613
THC.N,20110104,,End Of Day (from Real-Time),6.85,6.89,6.77,6.84,1578665
THC.N,20110105,,End Of Day (from Real-Time),6.83,6.9,6.77,6.86,1409759
THC.N,20110106,,End Of Day (from Real-Time),6.9,6.92,6.83,6.87,1923187
THC.N,20110107,,End Of Day (from Real-Time),6.86,6.9,6.8,6.89,1240604
THC.N,20110110,,End Of Day (from Real-Time),6.87,6.91,6.79,6.84,1968723
THC.N,20110111,,End Of Day (from Real-Time),6.97,6.97,6.85,6.88,2728695
THC.N,20110112,,End Of Day (from Real-Time),6.93,7.01,6.84,7.01,2718172
THC.N,20110113,,End Of Day (from Real-Time),6.98,7.07,6.94,7,1783625
THC.N,20110114,,End Of Day (from Real-Time),6.98,7.1,6.96,7.06,1737053
THC.N,20110118,,End Of Day (from Real-Time),7.04,7.09,7.02,7.04,1277754
THC.N,20110119,,End Of Day (from Real-Time),7.03,7.04,6.85,6.85,3933864
THC.N,20110120,,End Of Day (from Real-Time),6.85,6.9,6.69,6.75,2738192
THC.N,20110121,,End Of Day (from Real-Time),6.78,6.8,6.68,6.7,1715909
THC.N,20110124,,End Of Day (from Real-Time),6.71,6.83,6.66,6.82,2483654
THC.N,20110125,,End Of Day (from Real-Time),6.76,6.84,6.74,6.8,1103611
THC.N,20110126,,End Of Day (from Real-Time),6.83,6.85,6.75,6.75,1444653
THC.N,20110127,,End Of Day (from Real-Time),6.75,6.8,6.73,6.74,745264
THC.N,20110128,,End Of Day (from Real-Time),6.76,6.8,6.58,6.67,2141375
THC.N,20110131,,End Of Day (from Real-Time),6.65,6.78,6.64,6.65,1507934
THC.N,20110201,,End Of Day (from Real-Time),6.73,6.73,6.6,6.65,2308954
THC.N,20110202,,End Of Day (from Real-Time),6.61,6.68,6.6,6.68,915719
THC.N,20110203,,End Of Day (from Real-Time),6.62,6.68,6.62,6.66,1232564
THC.N,20110204,,End Of Day (from Real-Time),6.68,6.69,6.6,6.67,1085446
THC.N,20110207,,End Of Day (from Real-Time),6.68,6.78,6.66,6.72,1090040
THC.N,20110208,,End Of Day (from Real-Time),6.73,6.79,6.7,6.78,764658
THC.N,20110209,,End Of Day (from Real-Time),6.75,6.89,6.74,6.87,2185162
THC.N,20110210,,End Of Day (from Real-Time),6.84,6.96,6.81,6.96,886228
THC.N,20110211,,End Of Day (from Real-Time),6.93,7.04,6.93,7,958407
THC.N,20110214,,End Of Day (from Real-Time),6.99,7.01,6.96,6.98,760057
THC.N,20110215,,End Of Day (from Real-Time),6.94,6.97,6.91,6.91,1079369
THC.N,20110216,,End Of Day (from Real-Time),6.93,7.06,6.92,7.03,2124453
THC.N,20110217,,End Of Day (from Real-Time),6.99,7.1,6.96,7.04,1119625
THC.N,20110218,,End Of Day (from Real-Time),7.06,7.09,7,7.01,1122229
THC.N,20110222,,End Of Day (from Real-Time),6.98,7.01,6.88,6.93,1039435
THC.N,20110223,,End Of Day (from Real-Time),6.92,6.95,6.8,6.9,912570
THC.N,20110224,,End Of Day (from Real-Time),6.87,7.04,6.83,6.97,1281846
THC.N,20110225,,End Of Day (from Real-Time),7.05,7.13,6.93,7.07,2606891
THC.N,20110228,,End Of Day (from Real-Time),6.96,7.27,6.96,7.18,2599444
THC.N,20110301,,End Of Day (from Real-Time),7.17,7.22,7.01,7.03,1172982
THC.N,20110302,,End Of Day (from Real-Time),7,7.12,7,7.09,741716
THC.N,20110303,,End Of Day (from Real-Time),7.11,7.29,7.03,7.18,1244456
THC.N,20110304,,End Of Day (from Real-Time),7.16,7.23,7.1,7.18,841479
THC.N,20110307,,End Of Day (from Real-Time),7.18,7.18,7,7.03,1292889
THC.N,20110308,,End Of Day (from Real-Time),7.03,7.22,7.01,7.13,2667850
THC.N,20110309,,End Of Day (from Real-Time),7.15,7.41,7.15,7.28,2174004
THC.N,20110310,,End Of Day (from Real-Time),7.19,7.28,7.18,7.24,1098926
THC.N,20110311,,End Of Day (from Real-Time),7.19,7.24,7.04,7.09,1419514
THC.N,20110314,,End Of Day (from Real-Time),7.04,7.1,7,7.08,1273824
THC.N,20110315,,End Of Day (from Real-Time),6.98,7.08,6.94,7,1402667
THC.N,20110316,,End Of Day (from Real-Time),6.97,7.08,6.86,6.89,1536307
THC.N,20110317,,End Of Day (from Real-Time),6.98,7.09,6.98,7.02,1111643
THC.N,20110318,,End Of Day (from Real-Time),7.09,7.09,6.98,7.01,1299410
THC.N,20110321,,End Of Day (from Real-Time),7.07,7.1,6.94,7.1,1144294
THC.N,20110322,,End Of Day (from Real-Time),7.12,7.12,7.01,7.03,989014
THC.N,20110323,,End Of Day (from Real-Time),7,7.08,7,7.04,586925
THC.N,20110324,,End Of Day (from Real-Time),7.06,7.11,6.99,7.1,599047
THC.N,20110325,,End Of Day (from Real-Time),7.12,7.27,7.08,7.22,1735561
THC.N,20110328,,End Of Day (from Real-Time),7.22,7.29,7.18,7.27,854781
THC.N,20110329,,End Of Day (from Real-Time),7.25,7.35,7.25,7.29,1863598
THC.N,20110330,,End Of Day (from Real-Time),7.33,7.51,7.3,7.51,1662126
THC.N,20110331,,End Of Day (from Real-Time),7.47,7.55,7.4,7.45,1508229
THC.N,20110401,,End Of Day (from Real-Time),7.47,7.69,7.47,7.63,1365509
THC.N,20110404,,End Of Day (from Real-Time),7.63,7.67,7.53,7.62,753205
THC.N,20110405,,End Of Day (from Real-Time),7.58,7.64,7.51,7.58,858737
THC.N,20110406,,End Of Day (from Real-Time),7.59,7.61,7.49,7.54,1190025
